feature,type,coefficient,odds_multiplier,count
Robber of the Rich (repeat),repeat,0.0,1.0,0
Kumano Faces Kakkazan (repeat),repeat,0.0,1.0,0
Mana Confluence (repeat),repeat,0.0,1.0,0
Mox Opal (repeat),repeat,0.0,1.0,0
Talisman of Dominance (repeat),repeat,0.0,1.0,0
Zagoth Triome (repeat),repeat,0.0,1.0,0
Badlands (repeat),repeat,0.0,1.0,0
Cut Down (repeat),repeat,0.0,1.0,0
Cori-Steel Cutter (repeat),repeat,0.0,1.0,0
"Comet, Stellar Pup (repeat)",repeat,0.0,1.0,0
Fractured Identity (repeat),repeat,0.0,1.0,0
Chain Lightning (repeat),repeat,0.0,1.0,0
Brain Freeze (repeat),repeat,0.0,1.0,0
"Atraxa, Grand Unifier (repeat)",repeat,0.0,1.0,0
"Laelia, the Blade Reforged (repeat)",repeat,0.0,1.0,0
Mox Emerald (repeat),repeat,0.0,1.0,0
Willowrush Verge (repeat),repeat,0.0,1.0,0
"Adeline, Resplendent Cathar (repeat)",repeat,0.0,1.0,0
Abrade (repeat),repeat,0.0,1.0,0
Spirebluff Canal (repeat),repeat,0.0,1.0,0
Library of Alexandria (repeat),repeat,0.0,1.0,0
"Titania, Protector of Argoth (repeat)",repeat,0.0,1.0,0
Spell Pierce (repeat),repeat,0.0,1.0,0
Galvanic Discharge (repeat),repeat,0.0,1.0,0
Treasure Cruise (repeat),repeat,0.0,1.0,0
Duress (repeat),repeat,0.0,1.0,0
"Nadu, Winged Wisdom (repeat)",repeat,0.0,1.0,0
"Ajani, Nacatl Pariah (repeat)",repeat,0.0,1.0,0
Arid Mesa (repeat),repeat,0.0,1.0,0
Dismember (repeat),repeat,0.0,1.0,0
Sage of the Skies (repeat),repeat,0.0,1.0,0
Goblin Rabblemaster (repeat),repeat,0.0,1.0,0
Baleful Strix (repeat),repeat,0.0,1.0,0
Breeding Pool (repeat),repeat,0.0,1.0,0
Time Walk (repeat),repeat,0.0,1.0,0
Emperor of Bones (repeat),repeat,0.0,1.0,0
"Kari Zev, Skyship Raider (repeat)",repeat,0.0,1.0,0
Stomping Ground (repeat),repeat,0.0,1.0,0
Aether Spellbomb (repeat),repeat,0.0,1.0,0
Ketria Triome (repeat),repeat,0.0,1.0,0
Go for the Throat (repeat),repeat,0.0,1.0,0
Scrubland (repeat),repeat,0.0,1.0,0
"Jace, Vryn's Prodigy (repeat)",repeat,0.0,1.0,0
Force of Negation (repeat),repeat,0.0,1.0,0
Taiga (repeat),repeat,0.0,1.0,0
"Minsc & Boo, Timeless Heroes (repeat)",repeat,0.0,1.0,0
Snuff Out (repeat),repeat,0.0,1.0,0
Frantic Search (repeat),repeat,0.0,1.0,0
Savai Triome (repeat),repeat,0.0,1.0,0
Solitude (repeat),repeat,0.0,1.0,0
Lightning Bolt (repeat),repeat,0.0,1.0,0
Splitskin Doll (repeat),repeat,0.0,1.0,0
Pyrogoyf (repeat),repeat,0.0,1.0,0
Subtlety (repeat),repeat,0.0,1.0,0
Mox Pearl (repeat),repeat,0.0,1.0,0
Urza's Bauble (repeat),repeat,0.0,1.0,0
Ademi of the Silkchutes (repeat),repeat,0.0,1.0,0
Black Lotus (repeat),repeat,0.0,1.0,0
Mana Drain (repeat),repeat,0.0,1.0,0
Misty Rainforest (repeat),repeat,0.0,1.0,0
Expressive Iteration (repeat),repeat,0.0,1.0,0
Inspiring Vantage (repeat),repeat,0.0,1.0,0
"Goben, Gene-Splice Savant (repeat)",repeat,0.0,1.0,0
Daze (repeat),repeat,0.0,1.0,0
"Ragavan, Nimble Pilferer (repeat)",repeat,0.0,1.0,0
Sanguine Evangelist (repeat),repeat,0.0,1.0,0
Chromatic Star (repeat),repeat,0.0,1.0,0
Guide of Souls (repeat),repeat,0.0,1.0,0
Archon of Cruelty (repeat),repeat,0.0,1.0,0
