feature,type,coefficient,odds_multiplier,count
Ashling's Command,card,0.5887867470484288,1.801801048311376,5636
Gloom Ripper,card,0.5259836724139494,1.6921225242370328,4517
Kinbinding,card,0.5241464882822214,1.6890166375030706,5037
Deepchannel Duelist,card,0.5149312289852268,1.6735234079370036,9793
Rimekin Recluse,card,0.48626091631317814,1.6262242492971868,13981
Sunderflock,card,0.48290303771753934,1.6207727435682648,4865
Disruptor of Currents,card,0.44395158782603006,1.5588550162348715,5173
Eclipsed Elf,card,0.4320909955673211,1.5404752852061254,10442
Figure of Fable,card,0.39768929028629335,1.4883815034644416,5046
Morcant's Loyalist,card,0.3952739512701527,1.4847908955614944,10363
"Trystan, Callous Cultivator",card,0.3755084819872619,1.455731439672916,4106
Trystan's Command,card,0.37011995869888353,1.44790829344096,4949
Champions of the Shoal,card,0.35174560023906415,1.4215468365385875,4276
"Sanar, Innovative First-Year",card,0.34131503690240145,1.4067963638272307,5726
Blighted Blackthorn,card,-0.33449277231212554,0.715701017672775,6377
End-Blaze Epiphany,card,0.320412962499316,1.3776965839018858,5209
High Perfect Morcant,card,0.31653552323856904,1.3723649922193555,4062
Shimmerwilds Growth,card,-0.29949333916965887,0.7411936593585448,4646
Taster of Wares,card,0.2987446799558935,1.3481653658861688,3973
Moonglove Extractor,card,-0.2935075306003428,0.7456436076989498,8321
Eclipsed Kithkin,card,0.2842550428231729,1.3287717812467064,8602
"Abigale, Eloquent First-Year",card,0.2697765956107126,1.3096718316125582,4297
Eclipsed Boggart,card,0.26917742783768234,1.308887353498282,6731
Thoughtweft Lieutenant,card,0.2631586071188316,1.3010330556925218,7106
Slumbering Walker,card,0.26198921468019787,1.2995125266956125,4259
"Brigid, Clachan's Heart",card,0.2615928278378902,1.2989975191064755,3800
"Maralen, Fae Ascendant",card,0.2615531788422404,1.298946016180518,3889
Tanufel Rimespeaker,card,-0.2604327142776282,0.7707180129496743,10512
Wanderwine Farewell,card,0.2585766153182553,1.2950853694296993,7811
Assert Perfection,card,0.25834341015590495,1.2947833840495073,27508
Dawnhand Eulogist,card,0.2576541693601833,1.2938912739942368,19444
Eclipsed Merrow,card,0.2565835984215899,1.2925068128127821,9879
Boggart Mischief,card,0.2552286400698766,1.2907567058408977,6212
Eclipsed Flamekin,card,0.2550333645043884,1.290504677203575,11549
Firdoch Core,card,-0.2530015064557157,0.7764667121101403,5882
Evolving Wilds,card,-0.25007231039548944,0.7787444697148186,27105
Silvergill Mentor,card,0.24867825542552952,1.2823293841675585,9245
Boulder Dash,card,0.23521953925338326,1.265186496344518,9298
Explosive Prodigy,card,0.23124953538071244,1.2601736581318528,11758
Pyrrhic Strike,card,0.2298838329618147,1.258453810586001,10520
Protective Response,card,0.22680387734152366,1.2545837915020148,9174
Great Forest Druid,card,-0.2172535405145515,0.8047259128157926,15622
Pitiless Fists,card,0.20930524832845443,1.2328212577292925,10671
Heirloom Auntie,card,-0.20356076346073732,0.8158206307316933,6739
Boggart Cursecrafter,card,0.20065725102324455,1.2222057902406849,6668
Shinestriker,card,-0.19867331865569973,0.8198176687300327,11874
Thoughtweft Imbuer,card,0.19696731440359463,1.2177042386661492,7205
Chitinous Graspling,card,-0.19202515027108244,0.8252861120612296,10921
Gallant Fowlknight,card,0.18648905350711223,1.2050114313644373,9872
Glamer Gifter,card,0.1845057130825105,1.2026238519545416,10074
Chomping Changeling,card,-0.18388730873055262,0.8320295610112125,4150
Moon-Vigil Adherents,card,0.1820270610937475,1.199646657191274,10229
Kinsbaile Aspirant,card,0.1811648958591354,1.1986128092875261,6511
Merrow Skyswimmer,card,0.1797341632075125,1.196899140997536,23855
Adept Watershaper,card,0.1774770144853166,1.1942006082713723,3926
Dawnhand Dissident,card,0.17730474719161604,1.1939949042829934,4164
Mischievous Sneakling,card,-0.17374210950250119,0.8405136301888442,20714
Tend the Sprigs,card,-0.1685590480442919,0.8448813733532403,4863
Unforgiving Aim,card,-0.1635870131895874,0.8490926135305669,4505
Selfless Safewright,card,0.16242052345176097,1.1763548221125908,3832
Stoic Grove-Guide,card,-0.1600808918895945,0.852074860232841,13055
Sourbread Auntie,card,0.1590229219575206,1.1723648192693163,6737
"Ashling, Rekindled",card,0.1526243925313274,1.1648873563695148,4135
Nameless Inversion,card,0.14931834013725417,1.1610425368255761,9601
"Lluwen, Imperfect Naturalist",card,0.1470553080982346,1.1584180311563599,3938
Scarblade's Malice,card,-0.14430228564622435,0.8656260421786837,8559
Bogslither's Embrace,card,0.14295873778086798,1.1536821971962548,22549
Changeling Wayfinder,card,-0.1400545916890101,0.8693107769598105,19901
Wanderbrine Trapper,card,0.13936684699582713,1.1495457300596552,10071
Foraging Wickermaw,card,-0.13787887379188793,0.8712042110176665,16662
Sear,card,0.1306500411671546,1.139568909316221,10887
Blossoming Defense,card,0.1248561480006118,1.1329854591200326,8117
Enraged Flamecaster,card,-0.12413355148266782,0.8832618720728722,9058
Creakwood Safewright,card,0.12402763895512513,1.1320471591674188,8855
Virulent Emissary,card,0.12353392487424934,1.131488389492301,9377
Feisty Spikeling,card,-0.11868041893347672,0.8880915726674342,14247
Noggle Robber,card,0.1162737794404434,1.1233033674057689,10086
Bristlebane Battler,card,0.11589752049178395,1.1228807939652277,4010
Prismabasher,card,0.1149430378019778,1.1218095350150639,8979
Formidable Speaker,card,0.1145926412562817,1.121416525687642,3948
Silvergill Peddler,card,-0.11362341447954406,0.892594030585567,12722
Stalactite Dagger,card,-0.11281003545210128,0.8933203431937442,5292
Pummeler for Hire,card,0.11256478811817919,1.1191447618471162,8105
Liminal Hold,card,0.11206298760628079,1.1185833153115936,22874
Summit Sentinel,card,-0.11109707426707949,0.8948518776224501,13937
Cinder Strike,card,0.10917145479582352,1.1153535666665453,26560
Scarblade Scout,card,0.1083655800242747,1.1144550934428885,19255
Flamekin Gildweaver,card,0.10428968939081121,1.1099219409587107,19173
Flitterwing Nuisance,card,0.10253032003388052,1.107970895115607,4415
Gristle Glutton,card,-0.09677111839394816,0.907763752783325,14411
Glister Bairn,card,-0.09638345573141055,0.9081157271159296,4918
Tweeze,card,0.09581477206172584,1.1005551915440384,21616
Graveshifter,card,-0.09508391739720536,0.9092966254603533,8880
Gilt-Leaf's Embrace,card,0.09064986342409095,1.0948855786490221,9085
Temporal Cleansing,card,0.09011575244328798,1.094300944382432,21099
Squawkroaster,card,-0.08983704243551277,0.9140801294067461,4745
Warren Torchmaster,card,-0.08942007371956236,0.9144613516979418,4506
"Sygg, Wanderwine Wisdom",card,0.08648491569104531,1.0903349206449262,4518
Giantfall,card,0.08252587537703342,1.0860267744277499,6379
Shore Lurker,card,-0.08195191917024176,0.9213162552814556,9116
Retched Wretch,card,0.08108570400090447,1.0844638354736216,4403
Encumbered Reejerey,card,0.08092030115348418,1.0842844769009283,8566
Clachan Festival,card,0.08087743548820346,1.0842379993216256,7247
Keep Out,card,-0.07965657075008177,0.9234334259851504,11432
Burning Curiosity,card,-0.07939169627944716,0.92367805232123,8079
Safewright Cavalry,card,0.07830225304194194,1.0814494806713624,19128
Goldmeadow Nomad,card,-0.07561752931583475,0.9271707543857532,7982
Prideful Feastling,card,-0.07506777432050922,0.9276806112748412,16023
Blight Rot,card,0.07460981010638877,1.0774636534247373,21035
Wanderwine Distracter,card,-0.07353843133482715,0.9291004385353435,4686
Flock Impostor,card,0.07202326569982774,1.0746803469633208,7638
Gathering Stone,card,0.06978265834772461,1.0722751058834343,11656
Spiral into Solitude,card,0.06868382744263157,1.0710975039695054,20338
Run Away Together,card,-0.06860501668102915,0.9336954013625679,5838
Surly Farrier,card,-0.06838498973980875,0.9339008621083821,11450
"Tam, Mindful First-Year",card,-0.06792047457866576,0.9343347739893574,4189
Flame-Chain Mauler,card,-0.06767435498814,0.934564760382263,13402
Dundoolin Weaver,card,0.06572127756052239,1.0679290198988511,9914
Elder Auntie,card,0.06489123318095215,1.0670429592038269,10000
Kulrath Zealot,card,0.0595374772349356,1.0613455365302134,22564
Gnarlbark Elm,card,-0.0577067358167184,0.9439267267506833,6733
Flaring Cinder,card,-0.056562512367187616,0.9450074079985764,16586
Lys Alana Dignitary,card,0.05655603571156138,1.0581859093392987,8431
Mistmeadow Council,card,0.056440347736653206,1.0580634970353233,17955
Brambleback Brute,card,0.0563890755922039,1.058009249241579,7036
Lys Alana Informant,card,0.05633801801349411,1.0579552312300862,21625
Twinflame Travelers,card,0.056288779875240606,1.0579031407665742,10390
Aquitect's Defenses,card,-0.05614703602758971,0.9454001177925092,5470
Dream Seizer,card,-0.05363829028525007,0.9477748638843865,6561
Noggle the Mind,card,0.05305827111283406,1.0544910896983868,7188
Moonlit Lamenter,card,-0.050649231570225016,0.9506120567568012,7047
Wanderbrine Preacher,card,-0.04993662319494459,0.9512897122929173,17200
Bile-Vial Boggart,card,-0.04847407959602588,0.952682032888951,8622
Glamermite,card,0.047363774497191334,1.0485033584948942,8242
Personify,card,-0.047098768022713774,0.9539931689180814,5395
Unwelcome Sprite,card,0.04663951637434113,1.0477442463504196,9172
Soulbright Seeker,card,0.04555093303722684,1.0466043099927174,6923
Gutsplitter Gang,card,-0.04546703926273462,0.9555510977215755,4204
Blossombind,card,0.04536307395338398,1.0464077143326147,24230
Dawn-Blessed Pennant,card,-0.0422820066898221,0.9585994110045002,4150
Goliath Daydreamer,card,0.03936170884852624,1.0401466458610293,4144
Glen Elendra Guardian,card,0.03921367001458239,1.039992675161548,4279
Champions of the Perfect,card,0.03916716447153588,1.039944310862038,4227
Kulrath Mystic,card,-0.03908214556572199,0.9616717088350875,8409
Sun-Dappled Celebrant,card,-0.038238258448129975,0.9624835937229433,10783
Rime Chill,card,-0.038092203945178364,0.9626241790521338,4512
Lofty Dreams,card,0.036418550676957054,1.0370898303130196,6542
Iron-Shield Elf,card,0.03586357304966487,1.0365144283420826,8902
Feed the Flames,card,0.03517137991000608,1.035797208421618,21580
Crossroads Watcher,card,0.034961464947235614,1.0355798019084128,13081
Mudbutton Cursetosser,card,0.033802773253150696,1.0343805790923073,5445
Unexpected Assistance,card,0.033551585475271845,1.0341207879627083,22927
Bristlebane Outrider,card,0.033361682647373436,1.033924424146298,7088
Reluctant Dounguard,card,-0.032696966035971525,0.9678318010629138,7282
Midnight Tilling,card,0.03140906371039631,1.0319075334865746,13332
Shimmercreep,card,0.027440687033038272,1.0278206502069978,6120
Thirst for Identity,card,0.027388505312201175,1.0277670181560765,4409
Luminollusk,card,-0.026255489446479763,0.9740861890731033,4195
Stratosoarer,card,-0.026246895083122498,0.9740945607597281,13847
Burdened Stoneback,card,-0.02614758597751146,0.9741913020229024,5420
Auntie's Sentence,card,-0.025833340569036342,0.97449748527236,10929
Kithkeeper,card,-0.025340704103973818,0.9749776765388695,5249
Hovel Hurler,card,0.02502578395276789,1.0253415575418925,7321
Omni-Changeling,card,-0.02434046933644025,0.9759533709889224,11384
Reaping Willow,card,0.023772236467827362,1.0240570484759899,7878
Chaos Spewer,card,-0.019913162906129576,0.9802837946067505,8112
Morcant's Eyes,card,-0.019775414109962926,0.980418836820097,9752
Wild Unraveling,card,-0.01956900281337613,0.980621227230518,6964
Requiting Hex,card,-0.019411582376275473,0.9807756092038589,5374
Vinebred Brawler,card,0.019172597054745225,1.019357571549663,7143
Tributary Vaulter,card,0.017703425355780893,1.0178610598399236,12498
Riverguard's Reflexes,card,0.016345773714771333,1.0164800967472345,4930
Flamebraider,card,-0.015120170262349032,0.9849935655555,11093
Wildvine Pummeler,card,-0.014101762944130281,0.9859972011792485,11286
Swat Away,card,0.014095821904929674,1.0141956364404063,8762
Gravelgill Scoundrel,card,-0.012436193729593072,0.9876408161604435,14774
Sting-Slinger,card,0.011647478158749877,1.0117155741578854,5061
Thoughtweft Charge,card,0.01069473972640786,1.0107521328744324,5456
Timid Shieldbearer,card,0.010624090038181792,1.0106807260738349,15766
Dawn's Light Archer,card,0.010611058803443195,1.0106675557418605,13740
Rooftop Percher,card,0.010363706910371384,1.0104175961239483,11112
Gangly Stompling,card,0.009129382372944196,1.0091711822898426,16137
Eclipsed Realms,card,-0.0041543071578464714,0.9958543100391767,4890
Sizzling Changeling,card,0.002416459038703494,1.0024193810289956,9643
Meanders Guide,card,0.0016298781452678574,1.0016312071185756,6113
Barbed Bloodletter,card,-0.0002591498081184308,0.9997408837682926,3935
Unbury,card,-0.00023481036173367989,0.9997652172040616,8671
Boggart Prankster,card,0.0,1.0,8619
Boneclub Berserker,card,0.0,1.0,5719
Pestered Wellguard,card,0.0,1.0,7681
Wary Farmer,card,0.0,1.0,15150
