feature,type,coefficient,odds_multiplier,count
Omni-Changeling × Sunderflock,pair,0.5216687180812969,1.6848368228583293,356
Lofty Dreams × Sun-Dappled Celebrant,pair,0.37646937061399016,1.4571309077156531,305
Prismabasher × Shimmerwilds Growth,pair,0.3574933206106273,1.4297410166192173,418
Heirloom Auntie × Prideful Feastling,pair,-0.34479137973241397,0.7083681180002526,317
Evolving Wilds × Trystan's Command,pair,0.3391355138322194,1.403733557638038,491
Shimmerwilds Growth × Shinestriker,pair,0.3339163863175334,1.3964263783412012,372
Dundoolin Weaver × Moonglove Extractor,pair,-0.33159648542440867,0.7177768978669571,342
Gallant Fowlknight × Kinbinding,pair,-0.32923156508559764,0.7194763918433023,338
Sizzling Changeling × Swat Away,pair,0.323566470347759,1.3820480184273474,333
Great Forest Druid × Rime Chill,pair,0.3193798161542815,1.3762739567292346,326
Flame-Chain Mauler × Flitterwing Nuisance,pair,0.31848188390860666,1.3750387106312527,304
Summit Sentinel × Wanderwine Farewell,pair,-0.3183469974927806,0.7273503558705382,335
Swat Away × Tanufel Rimespeaker,pair,0.3179566038303764,1.3743166198563153,780
Mistmeadow Council × Shimmerwilds Growth,pair,0.31239065656356707,1.366688494586912,307
Feisty Spikeling × Silvergill Mentor,pair,0.31183662103656595,1.3659315103240182,373
"Evolving Wilds × Tam, Mindful First-Year",pair,0.31042934595144844,1.3640106208685128,418
Evolving Wilds × Reaping Willow,pair,0.30649472020789537,1.358654294046098,689
Kinsbaile Aspirant × Wanderbrine Preacher,pair,-0.3053726798225911,0.7368487145664981,326
Eclipsed Merrow × Flitterwing Nuisance,pair,0.2987973258820443,1.3482363431687763,300
Iron-Shield Elf × Morcant's Eyes,pair,0.2968956796535111,1.3456749108525698,752
"Rimekin Recluse × Sygg, Wanderwine Wisdom",pair,0.29471150319627165,1.3427389269138936,364
Graveshifter × Scarblade's Malice,pair,0.2921391328152001,1.33928934377372,500
Foraging Wickermaw × Midnight Tilling,pair,-0.2911856616107756,0.747376905935953,380
Heirloom Auntie × Scarblade's Malice,pair,0.2910930610190256,1.3378890834783705,320
"Mischievous Sneakling × Sanar, Innovative First-Year",pair,0.290315410957905,1.336849078383255,438
"Ashling, Rekindled × Kulrath Mystic",pair,-0.29022898303869316,0.7480922475285591,416
Assert Perfection × Kinbinding,pair,-0.28946671492842946,0.7486627117881197,349
Dawnhand Eulogist × Taster of Wares,pair,-0.28635959454865506,0.7509925145719847,327
Chitinous Graspling × Keep Out,pair,0.28215026177397784,1.3259779488170231,294
Changeling Wayfinder × Kinbinding,pair,0.280474888147791,1.3237583002222173,300
Aquitect's Defenses × Eclipsed Merrow,pair,0.2803140319915548,1.3235453826752661,397
Flamekin Gildweaver × Glen Elendra Guardian,pair,0.2761849925210186,1.3180916785772274,389
Great Forest Druid × Pyrrhic Strike,pair,0.2749971042954957,1.316526862589336,374
"Abigale, Eloquent First-Year × Lys Alana Informant",pair,0.2693778222741316,1.3091496735247208,314
Gathering Stone × Nameless Inversion,pair,0.26906912478103706,1.3087456046731476,330
Blighted Blackthorn × Liminal Hold,pair,0.2688675016003245,1.3084817578213044,376
Gathering Stone × Prideful Feastling,pair,0.2683756460216074,1.3078383320183273,537
Gangly Stompling × Gloom Ripper,pair,-0.2679043416374746,0.7649809544284517,301
Champions of the Perfect × Mischievous Sneakling,pair,0.26767274490121484,1.306919373995607,308
Hovel Hurler × Wary Farmer,pair,0.26649707959235064,1.3053837770770045,375
Evolving Wilds × Glister Bairn,pair,0.2645885026707161,1.3028947277528122,543
Chaos Spewer × Reaping Willow,pair,0.2627135900539415,1.3004542025900598,360
"Sanar, Innovative First-Year × Shinestriker",pair,-0.26269817030673553,0.7689739614623893,449
Dawn-Blessed Pennant × Lys Alana Informant,pair,0.2625024951255773,1.300179712276099,391
High Perfect Morcant × Moon-Vigil Adherents,pair,-0.2595173825536984,0.7714237985618344,295
Clachan Festival × Thoughtweft Lieutenant,pair,0.2593464902500353,1.2960828070919987,663
Deepchannel Duelist × Stratosoarer,pair,-0.25889482490000176,0.7719042038763593,383
"Ashling, Rekindled × Rimekin Recluse",pair,-0.25871826387680125,0.7720405041047083,433
Great Forest Druid × Trystan's Command,pair,0.2573009739138944,1.2934343581833108,461
"Eclipsed Flamekin × Sanar, Innovative First-Year",pair,-0.25652514342487076,0.7737355399534771,424
Run Away Together × Shinestriker,pair,0.25645593030409275,1.29234181143407,447
Changeling Wayfinder × Moon-Vigil Adherents,pair,0.25577408422492914,1.2914609335826868,537
Pitiless Fists × Trystan's Command,pair,0.255721819074393,1.291393436946458,297
Prideful Feastling × Prismabasher,pair,0.2541138148357604,1.2893185394951385,450
Adept Watershaper × Wanderbrine Trapper,pair,-0.2535835655951894,0.7760148940690256,291
End-Blaze Epiphany × Summit Sentinel,pair,0.25335978896845185,1.2883467263973098,446
Keep Out × Slumbering Walker,pair,0.2533507110797601,1.2883350309822161,373
Great Forest Druid × Tanufel Rimespeaker,pair,0.2512053792629127,1.2855740874783874,409
Gangly Stompling × Thoughtweft Imbuer,pair,0.2508102758095158,1.2850662530470023,347
Noggle the Mind × Shinestriker,pair,0.2507217442576972,1.2849524891733508,599
Creakwood Safewright × Rooftop Percher,pair,0.25014584679678237,1.2842127013388538,384
Blossoming Defense × Unbury,pair,-0.24948251832182874,0.7792039025020536,300
Spiral into Solitude × Thoughtweft Charge,pair,0.24902317703058793,1.2827717635656792,377
Encumbered Reejerey × Wanderbrine Trapper,pair,-0.2463879249371486,0.7816189566219899,839
Glamer Gifter × Sun-Dappled Celebrant,pair,0.24623948219903716,1.2792058839004328,320
Explosive Prodigy × Glamer Gifter,pair,-0.2461641072552046,0.7817939163438338,435
Barbed Bloodletter × Scarblade Scout,pair,0.24487963356507603,1.277467539737001,535
Deepchannel Duelist × Timid Shieldbearer,pair,-0.2437267749043899,0.7837017319937479,450
Shore Lurker × Unwelcome Sprite,pair,0.2430192214096715,1.2750931329703896,380
Rooftop Percher × Tanufel Rimespeaker,pair,0.24285467849398176,1.2748833426887403,348
Firdoch Core × Wildvine Pummeler,pair,0.2419059714087097,1.2736744253735208,436
Burning Curiosity × Noggle Robber,pair,0.24135945686524238,1.272978533951124,338
Burning Curiosity × Enraged Flamecaster,pair,0.24095270626612056,1.272460854460129,428
Evolving Wilds × Gloom Ripper,pair,0.2391030039259634,1.27010935609634,337
Blighted Blackthorn × Iron-Shield Elf,pair,0.23906138157679183,1.2700564922614006,335
Swat Away × Wanderwine Farewell,pair,-0.2384729954078732,0.7878299629966979,444
Disruptor of Currents × Swat Away,pair,-0.23736659386195716,0.7887021016644945,339
Chomping Changeling × Great Forest Druid,pair,0.2371286755416123,1.2676042169407868,453
Glister Bairn × Mischievous Sneakling,pair,0.23678594562416094,1.267169845492451,334
Flitterwing Nuisance × Shinestriker,pair,0.2367028906635899,1.2670646051213246,364
Evolving Wilds × Tend the Sprigs,pair,0.23655163896893958,1.266872973945204,648
Gnarlbark Elm × Graveshifter,pair,0.23574468345424499,1.2658510761809325,419
Disruptor of Currents × Shore Lurker,pair,-0.23485933559368247,0.7906820626296225,295
Kinsbaile Aspirant × Protective Response,pair,-0.23436058141991625,0.791076516968178,450
Feisty Spikeling × Shinestriker,pair,0.23413207149881807,1.2638113946511222,560
Flamebraider × Goliath Daydreamer,pair,-0.23331745283149555,0.7919021420403491,314
Changeling Wayfinder × Gravelgill Scoundrel,pair,0.2320727173275049,1.2612114374190349,602
Prideful Feastling × Stalactite Dagger,pair,0.23174678318300623,1.2608004325320494,346
Dream Seizer × Requiting Hex,pair,0.2312928295917391,1.2602282175371828,329
Great Forest Druid × Kithkeeper,pair,0.22911765678883367,1.2574899825397243,558
Pestered Wellguard × Tanufel Rimespeaker,pair,0.2284061752003648,1.2565956197685133,329
Clachan Festival × Prideful Feastling,pair,-0.22837713672175408,0.7958240687520891,419
"Dawn's Light Archer × Maralen, Fae Ascendant",pair,0.226165837987895,1.253783572983212,372
Eclipsed Merrow × Rimekin Recluse,pair,-0.22613687588198295,0.7976089207692212,707
Kinbinding × Temporal Cleansing,pair,-0.2259108524382034,0.7977892194593806,297
Firdoch Core × Prideful Feastling,pair,0.22554910738706427,1.2530105646803735,325
Shinestriker × Thirst for Identity,pair,0.22444139325384502,1.2516233556261873,344
Gnarlbark Elm × Tweeze,pair,0.22259282744822292,1.249311784693208,425
Gallant Fowlknight × Pitiless Fists,pair,-0.22244866564489643,0.800556101726634,462
Evolving Wilds × Vinebred Brawler,pair,0.22231743003338872,1.2489677748292696,526
Aquitect's Defenses × Eclipsed Flamekin,pair,0.22192493535043747,1.2484776578089258,307
"Omni-Changeling × Sygg, Wanderwine Wisdom",pair,0.2211703222974551,1.2475358956496851,338
Omni-Changeling × Wanderwine Distracter,pair,0.2211197521946173,1.2474728092263052,313
Assert Perfection × Shinestriker,pair,0.2208509508995915,1.2471375319831732,487
Surly Farrier × Virulent Emissary,pair,-0.22050755570693573,0.8021115783187186,489
Keep Out × Kinbinding,pair,0.2203840957190898,1.2465554352535781,350
Cinder Strike × Gathering Stone,pair,0.21958968005595594,1.2455655453349357,961
Chitinous Graspling × Explosive Prodigy,pair,0.21949977183664796,1.2454535637888293,493
Blight Rot × Blighted Blackthorn,pair,0.2193547881214675,1.245273006393324,1007
Glamer Gifter × Spiral into Solitude,pair,-0.21656251407643423,0.8052821918766194,602
Feed the Flames × Shimmercreep,pair,-0.21642542222647645,0.805392597069695,525
Auntie's Sentence × Blighted Blackthorn,pair,0.21615135224438628,1.2412902368472414,681
Flock Impostor × Pestered Wellguard,pair,-0.2158495540452101,0.8058565306092357,318
Lys Alana Informant × Reaping Willow,pair,0.21573216954165061,1.240770018491766,436
Foraging Wickermaw × Wanderbrine Preacher,pair,0.21554380280051902,1.2405363206980258,358
Clachan Festival × Keep Out,pair,0.21546184710354047,1.2404346558452997,645
Gilt-Leaf's Embrace × Prismabasher,pair,-0.21506606900572076,0.8064881545465855,304
Lys Alana Informant × Thoughtweft Lieutenant,pair,-0.2149400249952564,0.8065898139546217,403
Mischievous Sneakling × Shinestriker,pair,0.21482050050939172,1.2396393623601536,1263
Firdoch Core × Shinestriker,pair,0.2143251202322919,1.2390254215489636,401
Assert Perfection × Slumbering Walker,pair,-0.21383720979295298,0.807479824131648,301
Great Forest Druid × Shinestriker,pair,0.21380996997461632,1.2383873016617102,770
Kithkeeper × Mistmeadow Council,pair,0.2136611167384014,1.2382029774231404,348
Virulent Emissary × Wildvine Pummeler,pair,0.2136081038519125,1.2381373384491192,508
Cinder Strike × Prideful Feastling,pair,-0.21350283133492573,0.8077498731368981,518
Changeling Wayfinder × Hovel Hurler,pair,0.21314820747124402,1.2375680544842473,388
Kulrath Mystic × Lofty Dreams,pair,0.21288424747427423,1.2372414291342453,399
Gloom Ripper × Moonglove Extractor,pair,0.212669797495173,1.236976131183211,432
Figure of Fable × Safewright Cavalry,pair,-0.21251747679548502,0.8085461854016488,330
Foraging Wickermaw × Kithkeeper,pair,0.2123948689414001,1.2366360978689888,883
End-Blaze Epiphany × Flamebraider,pair,0.21210437886108374,1.236276919520996,451
Liminal Hold × Unwelcome Sprite,pair,-0.21175056628718836,0.8091665058023898,621
Keep Out × Kinsbaile Aspirant,pair,-0.21130006231803464,0.8095311206490112,505
Glamer Gifter × Sear,pair,-0.2108074896165632,0.8099299718035655,330
Dundoolin Weaver × Protective Response,pair,0.20999921110452693,1.2336770867140905,332
Evolving Wilds × Prismabasher,pair,0.20986507467011845,1.2335116167664897,885
Shinestriker × Swat Away,pair,0.20947941454429334,1.2330359922417629,775
Nameless Inversion × Stoic Grove-Guide,pair,0.20915676507439449,1.2326382180067736,761
Gnarlbark Elm × Sourbread Auntie,pair,-0.20895639783578113,0.811430615003025,294
Blight Rot × Retched Wretch,pair,-0.20882329436901131,0.8115386264191127,614
"Abigale, Eloquent First-Year × Assert Perfection",pair,-0.2081009141527804,0.8121250776624306,368
Deepchannel Duelist × Unexpected Assistance,pair,-0.20772737686614595,0.812428493325352,1740
Run Away Together × Swat Away,pair,0.2077004418593359,1.2308444048570268,382
Feed the Flames × Reaping Willow,pair,0.20750772186417246,1.2306072193852013,305
Blossoming Defense × Timid Shieldbearer,pair,0.20745013255735675,1.2305363516091072,511
Midnight Tilling × Surly Farrier,pair,-0.2069512930242183,0.8130592506803801,466
Dundoolin Weaver × Morcant's Loyalist,pair,-0.20651369565646818,0.8134151211266092,459
Gravelgill Scoundrel × Rimekin Recluse,pair,-0.20639796292973786,0.8135092653242181,1119
Graveshifter × Scarblade Scout,pair,0.2060826025319909,1.2288547063132704,1115
Feisty Spikeling × Great Forest Druid,pair,0.20585911383944938,1.2285801018682703,349
Kinsbaile Aspirant × Sun-Dappled Celebrant,pair,-0.20549462703604335,0.8142444694615869,500
Changeling Wayfinder × Figure of Fable,pair,-0.20540299301307913,0.8143190853766261,314
Mischievous Sneakling × Prismabasher,pair,0.20382685472484235,1.226085844105716,438
Chitinous Graspling × Unwelcome Sprite,pair,0.20363579334859946,1.2258516088343183,304
Flamebraider × Lofty Dreams,pair,0.20347212580889232,1.2256509931350412,307
Mischievous Sneakling × Taster of Wares,pair,0.20335432795200206,1.2255066225781925,301
Nameless Inversion × Vinebred Brawler,pair,-0.20312005599340274,0.8161802482128965,399
Soulbright Seeker × Unwelcome Sprite,pair,-0.2029526969449209,0.8163168547934819,310
Explosive Prodigy × Noggle the Mind,pair,-0.20270908448816402,0.8165157439729274,359
Burning Curiosity × Kulrath Mystic,pair,-0.20196531766958,0.8171232671899448,322
Changeling Wayfinder × Goliath Daydreamer,pair,-0.20128804958498317,0.8176768661462854,294
Blight Rot × Taster of Wares,pair,-0.20117850036940346,0.8177664469122312,513
Liminal Hold × Wanderwine Farewell,pair,-0.2009459431472559,0.8179566465207797,946
Glen Elendra Guardian × Silvergill Peddler,pair,0.200473817004128,1.2219816166815505,292
Gathering Stone × Twinflame Travelers,pair,-0.19994843836008247,0.8187729692666201,422
"Eclipsed Elf × Trystan, Callous Cultivator",pair,-0.1999012444309164,0.8188116112919621,386
Bristlebane Outrider × Sun-Dappled Celebrant,pair,0.19984000824279885,1.2212073594181523,294
Assert Perfection × Stalactite Dagger,pair,0.19888745689517637,1.2200446505600726,374
Kulrath Zealot × Nameless Inversion,pair,0.19884555434726806,1.2199935286517287,294
Dream Seizer × Reaping Willow,pair,0.19878217599174813,1.219916209918331,325
Feed the Flames × Run Away Together,pair,-0.19837398059046346,0.8200631080976769,435
Rimekin Recluse × Sunderflock,pair,-0.1980586887491938,0.8203217080700748,451
Gangly Stompling × Omni-Changeling,pair,-0.1979318623072825,0.8204257531512261,299
Auntie's Sentence × Champions of the Perfect,pair,-0.19782668253422653,0.8205120498840077,314
Moonglove Extractor × Trystan's Command,pair,0.19779636996975383,1.2187142017430577,313
"Changeling Wayfinder × Maralen, Fae Ascendant",pair,0.19696824173211586,1.2177053678785437,402
Goliath Daydreamer × Unexpected Assistance,pair,-0.19679434118164751,0.8213595357754923,366
Liminal Hold × Silvergill Peddler,pair,0.19674216330360753,1.2174301020795895,1860
Explosive Prodigy × Twinflame Travelers,pair,0.1967287179136733,1.2174137333671915,1209
Chitinous Graspling × Prismabasher,pair,0.19666300469276488,1.217333735818071,508
Bile-Vial Boggart × Boulder Dash,pair,-0.19649437070004114,0.821605956348612,400
Tweeze × Unbury,pair,-0.19645984967025829,0.8216343195218611,440
Blighted Blackthorn × Reaping Willow,pair,0.19628127721059177,1.2168691347572709,563
"Ashling, Rekindled × Sear",pair,0.19608840036460307,1.2166344515097878,398
Figure of Fable × Prideful Feastling,pair,0.19603197118075666,1.2165657997576491,292
Deepchannel Duelist × Feisty Spikeling,pair,-0.19547026922072328,0.8224477952145635,425
Tanufel Rimespeaker × Wanderbrine Preacher,pair,0.19545741360173852,1.2158670134227398,482
Blight Rot × Flamekin Gildweaver,pair,0.1952998548721775,1.2156754580517966,326
Aquitect's Defenses × Mischievous Sneakling,pair,0.19438728508387484,1.2145665753997559,496
Gnarlbark Elm × Heirloom Auntie,pair,0.19434792530943035,1.2145187712740864,400
Chomping Changeling × Evolving Wilds,pair,-0.19345562070954123,0.8241064086412533,354
Changeling Wayfinder × Sun-Dappled Celebrant,pair,0.19332138749670477,1.2132726615299212,503
Personify × Thoughtweft Imbuer,pair,0.19243005546539488,1.2121917145568828,300
Blighted Blackthorn × Great Forest Druid,pair,0.1922255382989896,1.2119438258918893,427
Gangly Stompling × Trystan's Command,pair,0.1915665573445902,1.2111454410819087,342
Noggle the Mind × Stratosoarer,pair,0.19139108783996905,1.2109329406355571,710
Creakwood Safewright × Vinebred Brawler,pair,-0.19138549323234988,0.8258141810052809,648
Cinder Strike × Nameless Inversion,pair,-0.19119728682019346,0.8259696191561653,534
Burning Curiosity × Shinestriker,pair,-0.1908034084974413,0.826295014763334,319
Run Away Together × Silvergill Mentor,pair,-0.19077325894172475,0.826319927566473,327
Midnight Tilling × Unforgiving Aim,pair,-0.19061337460618297,0.8264520537412082,445
Heirloom Auntie × Taster of Wares,pair,0.1901486929660837,1.2094294179353366,292
Flaring Cinder × Shimmerwilds Growth,pair,0.18987358985896086,1.2090967459062694,293
Blossoming Defense × Surly Farrier,pair,-0.18982323631721623,0.8271053232054854,612
Blight Rot × Warren Torchmaster,pair,0.1890680333200998,1.2081231423155077,432
Chitinous Graspling × Glamermite,pair,0.18894808661243154,1.2079782406125439,341
Boggart Mischief × Sourbread Auntie,pair,0.18885251056416585,1.2078627923430478,805
Cinder Strike × Eclipsed Realms,pair,-0.18878228133845532,0.8279667508855659,389
Explosive Prodigy × Unwelcome Sprite,pair,0.18877030460114527,1.2077635029001546,420
Morcant's Eyes × Nameless Inversion,pair,0.18848242749461297,1.2074158654783926,596
Gathering Stone × Protective Response,pair,0.18846793273813997,1.2073983644062982,332
Glister Bairn × Unexpected Assistance,pair,0.18784124993284304,1.2066419456542496,365
Blight Rot × Wary Farmer,pair,-0.18776399937555865,0.8288102838982087,400
Blighted Blackthorn × Eclipsed Boggart,pair,0.18749802378492855,1.2062278656529375,347
Assert Perfection × Protective Response,pair,-0.18688357812343454,0.8295403074030798,547
Flame-Chain Mauler × Tanufel Rimespeaker,pair,0.18666040221556068,1.2052179262076743,1267
Nameless Inversion × Virulent Emissary,pair,-0.18583751651608557,0.830408511688819,405
Twinflame Travelers × Wild Unraveling,pair,-0.18538707322108391,0.8307826478922676,389
Clachan Festival × Pyrrhic Strike,pair,0.18538246442849537,1.2036787163947928,528
Kulrath Zealot × Shimmercreep,pair,0.18535946686116492,1.2036510350307716,619
Champions of the Perfect × Dawn's Light Archer,pair,0.1852531391324384,1.2035230603537863,641
Evolving Wilds × Formidable Speaker,pair,0.18463344344878038,1.2027774733504863,354
Flamebraider × Run Away Together,pair,0.18460073187027132,1.2027381292442454,352
Hovel Hurler × Merrow Skyswimmer,pair,-0.18424257450626658,0.83173402188438,381
Blossombind × Chitinous Graspling,pair,0.18407106911336396,1.2021012523307524,1018
Feisty Spikeling × Wanderbrine Trapper,pair,0.183842476535889,1.2018264923123432,519
"Glamer Gifter × Sygg, Wanderwine Wisdom",pair,0.183701902107,1.201657558113755,318
Moon-Vigil Adherents × Unbury,pair,-0.1835457935349086,0.8323137602759444,443
Champions of the Shoal × Pestered Wellguard,pair,-0.1835148456463131,0.8323395190280614,367
Disruptor of Currents × Gravelgill Scoundrel,pair,-0.18323403885387687,0.8325732784376965,559
Kinbinding × Wanderbrine Trapper,pair,0.18290848317786035,1.2007045183906782,292
Boneclub Berserker × Nameless Inversion,pair,-0.1828765457919026,0.8328709708166327,359
High Perfect Morcant × Moonglove Extractor,pair,0.18267717143481194,1.2004268134550875,354
Pestered Wellguard × Rimekin Recluse,pair,-0.1821675620664208,0.8334616721544421,579
Aquitect's Defenses × Silvergill Mentor,pair,-0.18215315145645183,0.8334736829320647,381
Dundoolin Weaver × Thoughtweft Imbuer,pair,0.18210147532854765,1.1997359313008906,433
High Perfect Morcant × Lys Alana Informant,pair,-0.18202391591708997,0.8335814043135878,760
Aquitect's Defenses × Kulrath Mystic,pair,-0.1818104759626349,0.8337593428794834,309
Boulder Dash × Elder Auntie,pair,-0.18147411413968112,0.8340398348627118,736
Elder Auntie × Sear,pair,-0.18142272252998606,0.8340826986137844,837
Lofty Dreams × Summit Sentinel,pair,0.18107075223600422,1.1984999728464274,550
Burdened Stoneback × Prideful Feastling,pair,0.18076526458129286,1.1981339018184878,380
Flitterwing Nuisance × Liminal Hold,pair,-0.18065619209451172,0.8347222934911273,360
Midnight Tilling × Vinebred Brawler,pair,0.1805815070420385,1.1979137559083473,870
Boneclub Berserker × Gutsplitter Gang,pair,-0.180550755227169,0.834810308634793,456
Trystan's Command × Vinebred Brawler,pair,0.18053315034201467,1.1978558301527589,290
Burdened Stoneback × Pyrrhic Strike,pair,0.18047925128557255,1.1977912685936791,417
