feature,type,coefficient,odds_multiplier,count
Scarblade Scout (repeat),repeat,-0.059764298681128904,0.9419865348888529,1905
Flamekin Gildweaver (repeat),repeat,-0.056009692810729345,0.9455299710029317,2028
Dawnhand Eulogist (repeat),repeat,-0.049045269198163766,0.9521380261978946,2333
Merrow Skyswimmer (repeat),repeat,-0.045702032607944636,0.9553265759541967,2632
Assert Perfection (repeat),repeat,-0.0419547190641898,0.9589132000764995,2389
Tweeze (repeat),repeat,-0.02261550176137286,0.9776383117249269,1927
Kulrath Zealot (repeat),repeat,-0.021447115328195845,0.9787812386250224,2275
Blossombind (repeat),repeat,-0.015689806736332166,0.9844326370717505,1981
Cinder Strike (repeat),repeat,-0.015241886616495672,0.9848736830258229,2756
Lys Alana Informant (repeat),repeat,0.0,1.0,1945
Mistmeadow Council (repeat),repeat,0.0,1.0,2308
Morcant's Eyes (repeat),repeat,0.0,1.0,0
Thoughtweft Charge (repeat),repeat,0.0,1.0,0
Formidable Speaker (repeat),repeat,0.0,1.0,0
Chitinous Graspling (repeat),repeat,0.0,1.0,0
"Sygg, Wanderwine Wisdom (repeat)",repeat,0.0,1.0,0
Gravelgill Scoundrel (repeat),repeat,0.0,1.0,0
Wary Farmer (repeat),repeat,0.0,1.0,0
Lys Alana Dignitary (repeat),repeat,0.0,1.0,0
Barbed Bloodletter (repeat),repeat,0.0,1.0,0
Dream Seizer (repeat),repeat,0.0,1.0,0
Blossoming Defense (repeat),repeat,0.0,1.0,0
Warren Torchmaster (repeat),repeat,0.0,1.0,0
"Tam, Mindful First-Year (repeat)",repeat,0.0,1.0,0
Chaos Spewer (repeat),repeat,0.0,1.0,0
Meanders Guide (repeat),repeat,0.0,1.0,0
Thoughtweft Imbuer (repeat),repeat,0.0,1.0,0
Eclipsed Kithkin (repeat),repeat,0.0,1.0,0
Dawn's Light Archer (repeat),repeat,0.0,1.0,0
Boulder Dash (repeat),repeat,0.0,1.0,0
Sun-Dappled Celebrant (repeat),repeat,0.0,1.0,0
Thirst for Identity (repeat),repeat,0.0,1.0,0
Eclipsed Elf (repeat),repeat,0.0,1.0,0
Bile-Vial Boggart (repeat),repeat,0.0,1.0,0
Taster of Wares (repeat),repeat,0.0,1.0,0
Deepchannel Duelist (repeat),repeat,0.0,1.0,0
"Abigale, Eloquent First-Year (repeat)",repeat,0.0,1.0,0
Disruptor of Currents (repeat),repeat,0.0,1.0,0
Luminollusk (repeat),repeat,0.0,1.0,0
Glister Bairn (repeat),repeat,0.0,1.0,0
Burdened Stoneback (repeat),repeat,0.0,1.0,0
Flame-Chain Mauler (repeat),repeat,0.0,1.0,0
Wanderwine Distracter (repeat),repeat,0.0,1.0,0
Pestered Wellguard (repeat),repeat,0.0,1.0,0
Flitterwing Nuisance (repeat),repeat,0.0,1.0,0
Gnarlbark Elm (repeat),repeat,0.0,1.0,0
Nameless Inversion (repeat),repeat,0.0,1.0,0
Virulent Emissary (repeat),repeat,0.0,1.0,0
Temporal Cleansing (repeat),repeat,0.0,1.0,0
Unwelcome Sprite (repeat),repeat,0.0,1.0,0
Kinbinding (repeat),repeat,0.0,1.0,0
Safewright Cavalry (repeat),repeat,0.0,1.0,0
Shimmerwilds Growth (repeat),repeat,0.0,1.0,0
End-Blaze Epiphany (repeat),repeat,0.0,1.0,0
Gloom Ripper (repeat),repeat,0.0,1.0,0
Blight Rot (repeat),repeat,0.0,1.0,0
Flamebraider (repeat),repeat,0.0,1.0,0
Gristle Glutton (repeat),repeat,0.0,1.0,0
Dundoolin Weaver (repeat),repeat,0.0,1.0,0
Slumbering Walker (repeat),repeat,0.0,1.0,0
Personify (repeat),repeat,0.0,1.0,0
Graveshifter (repeat),repeat,0.0,1.0,0
"Sanar, Innovative First-Year (repeat)",repeat,0.0,1.0,0
"Trystan, Callous Cultivator (repeat)",repeat,0.0,1.0,0
Tributary Vaulter (repeat),repeat,0.0,1.0,0
Timid Shieldbearer (repeat),repeat,0.0,1.0,0
"Brigid, Clachan's Heart (repeat)",repeat,0.0,1.0,0
Crossroads Watcher (repeat),repeat,0.0,1.0,0
Silvergill Mentor (repeat),repeat,0.0,1.0,0
Mischievous Sneakling (repeat),repeat,0.0,1.0,0
Gutsplitter Gang (repeat),repeat,0.0,1.0,0
