feature,type,coefficient,odds_multiplier,count
"Aang, Swift Savior",card,0.5268628220142406,1.6936108071936844,7147
"Wan Shi Tong, Librarian",card,0.5217484638667618,1.684971186851558,4531
The Earth King,card,0.4930996548026146,1.6373836864070197,6271
Invasion Submersible,card,0.48528152658201823,1.6246323216529042,21857
The Fire Nation Drill,card,0.44644525288362785,1.5627471293150301,7092
The Legend of Kuruk,card,0.4400307429951264,1.5527549541155514,4755
"Katara, Water Tribe's Hope",card,0.4267802804952092,1.5323159450331354,7433
"Aang, the Last Airbender",card,0.3881384429758223,1.4742338674845457,14487
Earth Kingdom Jailer,card,0.3820425283001869,1.4652743994374053,14102
Cycle of Renewal,card,-0.3709042964781763,0.690109984354423,11392
Raven Eagle,card,0.3525778627881751,1.422730429194047,7398
"Aang, at the Crossroads",card,0.34348417250810387,1.4098512078977115,6134
"Azula, Cunning Usurper",card,0.3212179183869246,1.3788060153402149,7476
"Suki, Courageous Rescuer",card,0.3206009253064295,1.3779555639576933,6035
Allies at Last,card,0.31908294435650597,1.3758654404469506,11492
Waterbending Scroll,card,-0.3140151965885701,0.7305079268466625,6947
Iroh's Demonstration,card,0.29644793643711187,1.3450725289060357,13430
"Ty Lee, Chi Blocker",card,0.2728499276163752,1.31370307947806,7767
Firebending Lesson,card,0.2603417271806844,1.297373358662564,34711
Abandoned Air Temple,card,0.25944132235551726,1.2962057231815778,6685
The Unagi of Kyoshi Island,card,0.2536039784371364,1.2886613655141261,8000
Day of Black Sun,card,0.24543653245229746,1.278179158119693,6281
Waterbending Lesson,card,-0.24218428118910246,0.7849115197951791,33008
Great Divide Guide,card,0.2393099086458661,1.2703721749051973,5317
Pirate Peddlers,card,-0.23861408983388047,0.7877188124218253,9901
Misty Palms Oasis,card,-0.2289100982968141,0.7954000381089931,9400
Master Pakku,card,-0.22788919622118306,0.7962124782992307,6229
Epic Downfall,card,0.22773602327526976,1.2557537919026476,12332
Heartless Act,card,0.22454019394300023,1.2517470229853953,12858
Meditation Pools,card,-0.21562743404851512,0.8060355473400131,13562
Lightning Strike,card,0.20968336955154845,1.2332875017539466,28663
Invasion Reinforcements,card,0.20957507966546318,1.2331539564218064,11421
Twin Blades,card,0.19986067486284373,1.2212325979074417,6570
White Lotus Reinforcements,card,0.19874871592153254,1.219875392119177,8095
Geyser Leaper,card,-0.1975557871480728,0.820734352921679,9049
Combustion Technique,card,0.19739138671657944,1.2182207428289886,13724
Otter-Penguin,card,-0.19507936366313597,0.8227693574746807,21006
"Hama, the Bloodbender",card,-0.18868533750754826,0.828047021045046,11633
Kyoshi Village,card,-0.18865963228074645,0.8280683064550965,11040
White Lotus Hideout,card,-0.1880768974110051,0.828550991356798,4791
Giant Koi,card,-0.1847786233588802,0.8312882912936284,16559
Beetle-Headed Merchants,card,-0.1802135711142285,0.8350918408696147,9466
Ba Sing Se,card,0.17926760613535728,1.1963408494862007,5604
Zuko's Exile,card,-0.17674200462423992,0.8379959557176914,5330
"Toph, the Blind Bandit",card,0.17649119391985393,1.1930239208490767,10290
Sun-Blessed Peak,card,-0.17613413310939463,0.8385055044431153,10519
Aang's Iceberg,card,0.1729626540963453,1.1888217066340687,5554
"Jet, Freedom Fighter",card,0.1724214921878665,1.1881785356559789,10637
Boiling Rock Prison,card,-0.1722804659579704,0.8417430597855369,8562
Beifong's Bounty Hunters,card,0.17019943463931175,1.1855412657396918,5311
Boomerang Basics,card,0.16848014490916305,1.183504728017693,14393
Sparring Dummy,card,-0.16729043218135597,0.8459538834235792,5201
Boar-q-pine,card,-0.16635252618202812,0.8467476808414874,6109
Wartime Protestors,card,0.16608834826913704,1.1806774079209712,5470
Path to Redemption,card,0.16475935842040007,1.179109341833962,29733
Dai Li Indoctrination,card,-0.16475668711654584,0.8481000326501009,5354
Airship Engine Room,card,-0.16381907771165477,0.8488955921207408,15072
Glider Staff,card,0.1617015448581365,1.1755093521508078,13907
"Professor Zei, Anthropologist",card,-0.161673573718892,0.8507188562138683,10820
Zuko's Conviction,card,-0.16062798325207125,0.8516088249301924,5455
Gather the White Lotus,card,0.15960904493961475,1.1730521706498314,7387
Badgermole,card,0.15948186542861972,1.1729029919348355,19382
Shared Roots,card,-0.1588952660833775,0.8530857012971754,8222
Air Nomad Legacy,card,-0.15887947930250026,0.8530991688805158,5349
"Bumi, King of Three Trials",card,-0.15775599670737936,0.8540581495468392,7263
"Long Feng, Grand Secretariat",card,-0.15681529303672584,0.85486194318961,5699
Rabaroo Troop,card,-0.15585733047441294,0.8556812613025142,4869
Rocky Rebuke,card,0.15531388619655498,1.1680245303489167,22402
Merchant of Many Hats,card,-0.1539271165061054,0.8573345042685382,15712
Pillar Launch,card,0.153558698952199,1.165976226696223,5711
Secret Tunnel,card,0.15353834908712585,1.165952499478755,6185
Uncle Iroh,card,-0.15320095907932443,0.857957290178989,5601
Water Tribe Rallier,card,0.1529426501743833,1.1652581496747505,14993
"Jeong Jeong, the Deserter",card,-0.15212445962123483,0.8588813780377302,7325
