feature,type,coefficient,odds_multiplier,count
"How to Start a Riot × Jet, Freedom Fighter",pair,-0.35196246558672045,0.7033065196784986,408
It'll Quench Ya! × Obsessive Pursuit,pair,0.3405347227221281,1.405699048856674,391
Raucous Audience × Sun-Blessed Peak,pair,0.3403999563021962,1.4055096205929292,380
"Momo, Playful Pet × Rumble Arena",pair,-0.3141789104162651,0.7303883423868789,442
Earth Kingdom General × Omashu City,pair,0.31091731063139,1.364676372292942,483
Guru Pathik × Waterbending Scroll,pair,0.2986379458245717,1.3480214783059572,380
Earth Village Ruffians × Omashu City,pair,0.2967434917147461,1.3454701309445507,459
"Barrels of Blasting Jelly × The Mechanist, Aerial Artisan",pair,0.2947133601559336,1.3427414203282324,459
"Katara, Bending Prodigy × Merchant of Many Hats",pair,-0.29321187943212795,0.7458640906940593,368
Boar-q-pine × Forecasting Fortune Teller,pair,-0.2915946168620533,0.7470713247143683,520
Origin of Metalbending × Path to Redemption,pair,-0.2893218640650816,0.7487711640827932,466
It'll Quench Ya! × Treetop Freedom Fighters,pair,-0.28874427632649513,0.7492037700480983,398
Firebending Lesson × Invasion Reinforcements,pair,-0.2865904814118919,0.7508191402816741,416
Badgermole × Invasion Submersible,pair,-0.28139055010477443,0.7547335166591866,518
"Joo Dee, One of Many × Obsessive Pursuit",pair,0.2783039906107737,1.3208876736341433,529
Compassionate Healer × Giant Koi,pair,-0.27706037199873385,0.7580087332268111,668
Aang's Journey × Azula Always Lies,pair,0.2683677913042514,1.3078280593582265,373
Cat-Gator × Zuko's Conviction,pair,0.2664614232958739,1.305337232755837,444
Abandoned Air Temple × It'll Quench Ya!,pair,-0.2639618677084298,0.7680028248059899,397
"Katara, Water Tribe's Hope × Rumble Arena",pair,0.2614656814483597,1.2988323667613968,496
Airship Engine Room × Sokka's Haiku,pair,0.260650514883419,1.297774033460116,563
"Airbender's Reversal × Sokka, Lateral Strategist",pair,0.26009325580218234,1.2970510385610237,440
Raucous Audience × White Lotus Reinforcements,pair,-0.25858513032589026,0.7721432954408028,579
Accumulate Wisdom × Cycle of Renewal,pair,0.25812311674426497,1.294498183215586,618
Obsessive Pursuit × Pirate Peddlers,pair,0.2549591353911926,1.2904088877410387,587
