feature,type,coefficient,odds_multiplier,count
It'll Quench Ya! (repeat),repeat,-0.06446539353932859,0.9375685596301224,2889
Otter-Penguin (repeat),repeat,0.05025302181060013,1.051537124546306,2522
Lightning Strike (repeat),repeat,-0.045694048612210776,0.9553342033079519,2456
Deadly Precision (repeat),repeat,-0.045247252657219274,0.9557611381349295,2761
Lost Days (repeat),repeat,-0.0402562906126653,0.9605432293902936,4764
Sold Out (repeat),repeat,-0.03711206653703051,0.9635681455528802,2623
Firebending Lesson (repeat),repeat,-0.036950236384163705,0.9637240925512955,3760
Watery Grasp (repeat),repeat,-0.036286593591559266,0.9643638733688595,3943
Forecasting Fortune Teller (repeat),repeat,-0.025213421993889172,0.9751017816528376,5260
Airbending Lesson (repeat),repeat,-0.02517927506898718,0.9751350789486444,2732
Messenger Hawk (repeat),repeat,0.019986246120226654,1.0201873083966753,4458
First-Time Flyer (repeat),repeat,-0.01732755886889066,0.982821699938964,3250
Path to Redemption (repeat),repeat,-0.01431007218403342,0.9857918302427987,2282
Corrupt Court Official (repeat),repeat,0.011505095223554314,1.0115715333795716,2858
Fire Nation Cadets (repeat),repeat,0.006469573427591989,1.006490546321925,2751
Yuyan Archers (repeat),repeat,0.0,1.0,2724
Sandbenders' Storm (repeat),repeat,0.0,1.0,0
Yip Yip! (repeat),repeat,0.0,1.0,0
Ba Sing Se (repeat),repeat,0.0,1.0,0
Benevolent River Spirit (repeat),repeat,0.0,1.0,0
Tolls of War (repeat),repeat,0.0,1.0,0
Beifong's Bounty Hunters (repeat),repeat,0.0,1.0,0
Boiling Rock Rioter (repeat),repeat,0.0,1.0,0
Geyser Leaper (repeat),repeat,0.0,1.0,0
Sparring Dummy (repeat),repeat,0.0,1.0,0
"Suki, Kyoshi Warrior (repeat)",repeat,0.0,1.0,0
Seismic Sense (repeat),repeat,0.0,1.0,0
Dai Li Indoctrination (repeat),repeat,0.0,1.0,0
Air Nomad Legacy (repeat),repeat,0.0,1.0,0
Gran-Gran (repeat),repeat,0.0,1.0,0
Hermitic Herbalist (repeat),repeat,0.0,1.0,0
Turtle-Duck (repeat),repeat,0.0,1.0,0
Raucous Audience (repeat),repeat,0.0,1.0,0
"Jeong Jeong, the Deserter (repeat)",repeat,0.0,1.0,0
Boiling Rock Prison (repeat),repeat,0.0,1.0,0
Kyoshi Battle Fan (repeat),repeat,0.0,1.0,0
Pillar Launch (repeat),repeat,0.0,1.0,0
Accumulate Wisdom (repeat),repeat,0.0,1.0,0
Airship Engine Room (repeat),repeat,0.0,1.0,0
Guru Pathik (repeat),repeat,0.0,1.0,0
"Aang, Swift Savior (repeat)",repeat,0.0,1.0,0
North Pole Gates (repeat),repeat,0.0,1.0,0
Gather the White Lotus (repeat),repeat,0.0,1.0,0
True Ancestry (repeat),repeat,0.0,1.0,0
Jeong Jeong's Deserters (repeat),repeat,0.0,1.0,0
Water Tribe Captain (repeat),repeat,0.0,1.0,0
White Lotus Hideout (repeat),repeat,0.0,1.0,0
Shared Roots (repeat),repeat,0.0,1.0,0
Kyoshi Village (repeat),repeat,0.0,1.0,0
Dai Li Agents (repeat),repeat,0.0,1.0,0
Allies at Last (repeat),repeat,0.0,1.0,0
Invasion Submersible (repeat),repeat,0.0,1.0,0
Aang's Iceberg (repeat),repeat,0.0,1.0,0
Razor Rings (repeat),repeat,0.0,1.0,0
Avatar Enthusiasts (repeat),repeat,0.0,1.0,0
