feature,type,coefficient,odds_multiplier,count
"Sally Pride, Lioness Leader",card,0.7787338999340283,2.178712051041512,3273
Mighty Mutanimals,card,0.6524544081240482,1.9202481224330712,8865
"Agent Bishop, Man in Black",card,0.6078701303433839,1.8365156912438731,3031
The Last Ronin,card,0.5622652889424085,1.7546427745641997,2370
Dream Beavers,card,0.48230152325806236,1.6197981184824097,7921
"Raphael, the Nightwatcher",card,0.4192723725641172,1.520854537431651,2130
New Generation's Technique,card,-0.38954737238323545,0.6773633985030646,1887
Metalhead,card,0.378979874955985,1.4607936369113668,12007
The Last Ronin's Technique,card,0.3764984007685322,1.4571732090650964,6764
"Casey Jones, Jury-Rig Justiciar",card,0.3493826280189893,1.4181917264314439,8350
Turncoat Kunoichi,card,0.34855829116398723,1.4170231404443103,2726
"Michelangelo, Weirdness to 11",card,0.34433897207040776,1.4110568633165856,2447
Rock Soldiers,card,-0.3436566025658765,0.7091724142282507,1877
Crustacean Commando,card,-0.317237012781115,0.7281581518832531,4297
Henchbots,card,-0.2886253945804965,0.7492928419947998,3163
Ragamuffin Raptor,card,-0.27738122184484043,0.7577655652536972,15646
Baxter Stockman,card,0.27464627914980694,1.316065072869424,9270
Mechanized Ninja Cavalry,card,0.26546902362425023,1.3040424590874375,18061
"Kitsune, Dragon's Daughter",card,0.26280047019938146,1.300567191148479,3677
"Leatherhead, Swamp Stalker",card,0.2612461426747257,1.2985472539942406,2564
Dimensional Exile,card,0.25834408934446834,1.2947842634518725,6979
The Cloning of Shredder,card,0.25731797517058524,1.293456348379777,2065
"Leonardo, Big Brother",card,0.2555883222983261,1.291221051592692,12135
"Mikey & Don, Party Planners",card,0.23612910300768752,1.2663377876310682,3062
Courier of Comestibles,card,0.23543555161343832,1.2654598217852773,10119
Mutant Chain Reaction,card,-0.2323554461526546,0.7926643237431442,2214
Manhole Missile,card,0.2269300280229416,1.254742068085348,18661
Foot Headquarters,card,-0.22093513954217103,0.801768681687527,10038
Dimension X,card,-0.22064373775224003,0.8020023525608833,6995
"Don & Leo, Problem Solvers",card,0.21517172848407637,1.2400748348533188,3606
"Splinter, Hamato Yoshi",card,0.21435413258116975,1.239061369108221,5836
"Raph & Mikey, Troublemakers",card,0.21118002113376705,1.2351346853951344,3025
Chrome Dome,card,0.20397684393562773,1.2262697575459995,3023
"Stockman, Mad Fly-entist",card,-0.20333720839026082,0.8160030319578925,4077
"Raphael, Most Attitude",card,-0.20186352033449229,0.8172064523949272,2418
Zoo Escapees,card,-0.19724101503645924,0.8209927378710765,8183
"Armaggon, Future Shark",card,0.195967028899472,1.2164867957646575,3144
"Lita, Little Orphan Amphibian",card,0.19553349248126486,1.21595951874158,6186
Bot Bashing Time,card,-0.1942561121960021,0.8234469824449387,7780
Tainted Treats,card,0.1925756190703615,1.2123681783958091,8313
Uneasy Alliance,card,0.192129024114981,1.2118268617669086,13628
"Michelangelo, Mutant BFF",card,0.18951021490148248,1.2086574702433597,6422
North Wind Avatar,card,0.18825050539052848,1.207135871520015,2327
Putrid Pals,card,-0.18727635113195082,0.8292145503393344,2637
"Leonardo, Leader in Blue",card,0.18405094335555025,1.202077059375532,6429
"Koya, Death from Above",card,0.18357702735135753,1.2015075107885762,7945
Karai's Technique,card,0.18264271963044776,1.2003854572977581,6308
Ninja Teen,card,0.18134289912210888,1.1988261852688682,2141
Foot Ninjas,card,0.1766388073576228,1.193200040209846,11000
Shredder's Revenge,card,-0.17588128646329637,0.8387175445533344,4410
Improvised Arsenal,card,-0.16907560841169647,0.8444450538229982,2374
Novel Nunchaku,card,0.1690019203254025,1.184122412822135,7623
"Mona Lisa, Science Geek",card,-0.16786556402892636,0.8454674882877204,6418
"Shark Shredder, Killer Clone",card,0.1675214509905695,1.1823706529346185,2508
"Venus, Torn Between Worlds",card,-0.1648381592557463,0.8480309389408293,3578
"Karai, Future of the Foot",card,0.16469625715346062,1.1790349408880538,6461
Tunnel Rats,card,-0.16271843473955092,0.8498304374593606,6089
Illegitimate Business,card,-0.16269415872394724,0.8498510682067361,11862
Shredder's Technique,card,0.15459798374836806,1.1671886379724976,6794
Sewer-veillance Cam,card,0.15413432813341882,1.16664758984649,20052
"Rat King, Verminister",card,0.15402963248611856,1.166525453315593,2582
"Krang, Master Mind",card,-0.15398392960682308,0.8572857978205938,3092
The Neutrinos,card,0.15327636247281645,1.1656470755412094,3881
Death in the Family,card,0.1517055677582696,1.1638175205797405,6852
Does Machines,card,0.14874299377201597,1.1603747273514253,3178
Purple Dragon Punks,card,-0.14338801199693488,0.8664178231562744,4738
"Shredder, Unrelenting",card,0.14282093282622588,1.1535232250272265,5039
