feature,type,coefficient,odds_multiplier,count
"Casey Jones, Jury-Rig Justiciar × Old Hob, Alleycat Blues",pair,-0.7134575866218585,0.4899472304569048,152
"Mouser Mark III × Slash, Reptile Rampager",pair,-0.6469489042602365,0.5236410207900485,162
"Leonardo, Big Brother × Turtle Van",pair,-0.5192591501432479,0.5949611616271236,150
Fugitive Droid × Improvised Arsenal,pair,0.5168665190682036,1.6767652971782294,197
Illegitimate Business × Krang & Shredder,pair,0.4696878686518553,1.599494862805199,299
"Agent Bishop, Man in Black × Raphael, Tough Turtle",pair,-0.4645861328712117,0.6283951234649139,155
"East Wind Avatar × Shredder, Unrelenting",pair,-0.437176989434746,0.6458571114091317,169
Foot Elite × Insectoid Exterminator,pair,0.43273527391139294,1.5414680998621102,194
"Agent Bishop, Man in Black × Turtle Blimp",pair,-0.4290098728070765,0.6511535004364107,159
Guac & Marshmallow Pizza × Shredder's Revenge,pair,0.4277169800938609,1.5337519372055055,171
Courier of Comestibles × Mouser Mark III,pair,0.4230728422644553,1.5266454962313338,153
Action News Crew × Ninja Teen,pair,0.4191329948046023,1.5206425789051712,146
"Mutant Town × Raph & Mikey, Troublemakers",pair,0.4139079044954917,1.512717805959559,372
East Wind Avatar × Hamato Guardian Stance,pair,0.4083299047719246,1.5043033561726855,166
"Ooze Spill × Raph & Mikey, Troublemakers",pair,0.4080871499318075,1.5039382235726162,167
"Agent Bishop, Man in Black × Foot Ninjas",pair,-0.4049311766609703,0.6670227160093078,303
Death in the Family × Foot Mystic,pair,-0.3964109541196521,0.6727301778851454,202
"Kitsune, Dragon's Daughter × Mona Lisa, Science Geek",pair,0.39595912274829703,1.485808580538688,154
"Dimension X × Ray Fillet, Man Ray",pair,0.3954389611999693,1.485035921018224,159
"Foot Ninjas × Michelangelo, Game Master",pair,-0.39372360368104203,0.6745404709802506,197
"Donatello, Way with Machines × Venus, Torn Between Worlds",pair,0.39354380880470236,1.4822242167810025,161
"Lord Dregg, Insect Invader × Savanti Romero, Time's Exile",pair,0.39266568776361327,1.4809232158103984,205
"Michelangelo, Game Master × New Generation's Technique",pair,0.39115888971700896,1.4786934439314805,313
East Wind Avatar × Featherbrained Filcher,pair,-0.3904796242780226,0.6767322194459994,268
"Mind Transfer Protocol × Raphael, the Nightwatcher",pair,-0.38696306931378066,0.6791161746898815,155
"Armaggon, Future Shark × TCRI Building",pair,0.37990882236534534,1.462151267862233,161
"East Wind Avatar × Splinter, Hamato Yoshi",pair,0.3766501106844055,1.45739429345998,203
"Armaggon, Future Shark × Michelangelo, Game Master",pair,0.37650319366017987,1.4571801931551362,320
"General Traag, Heart of Stone × Ravenous Robots",pair,0.37424103781528295,1.4538875501041175,334
Frog Butler × Krang & Shredder,pair,0.3728121837289778,1.4518116403763572,417
"Pizza Face, Gastromancer × Weather Maker",pair,-0.371829033256881,0.68947210924928,161
Foot Mystic × High-Flying Ace,pair,0.36997718739678825,1.4477015884447126,174
The Cloning of Shredder × Zoo Escapees,pair,0.36698754885088,1.4433799472643327,155
"Transdimensional Bovine × Venus, Torn Between Worlds",pair,0.3644047318752621,1.4396567712451427,145
"Mutant Town × Shark Shredder, Killer Clone",pair,0.3607890060641082,1.4344607664233415,177
"Brilliance Unleashed × Pizza Face, Gastromancer",pair,0.35769361963730834,1.4300274210355575,202
Mighty Mutanimals × Turtle Lair,pair,-0.35448999996630887,0.7015311328913543,260
"Bespoke B? × Don & Leo, Problem Solvers",pair,0.353239311147412,1.4236718032028985,234
"Agent Bishop, Man in Black × Karai's Technique",pair,-0.3507793343729861,0.7041391160129866,152
Ravenous Robots × Turtle Blimp,pair,0.3492016294475829,1.4179350589839008,214
"Kitsune, Dragon's Daughter × Turtle Blimp",pair,0.3484643756915927,1.4168900662956403,231
Genghis Frog × Weather Maker,pair,-0.3470237947765231,0.7067885101830101,155
"Madame Null, Power Broker × Michelangelo, Game Master",pair,0.3436708022225804,1.4101143525806406,200
Tenderize × Turtle Van,pair,0.3426424139604902,1.4086649529327724,257
"Dimensional Exile × Old Hob, Alleycat Blues",pair,0.3420884935241532,1.4078848806963138,208
"Everything Pizza × Mutagen Man, Living Ooze",pair,0.34141680589863194,1.4069395393663702,233
"Guac & Marshmallow Pizza × Ray Fillet, Man Ray",pair,0.3398560684034402,1.404745388765764,242
"Lita, Little Orphan Amphibian × Sally Pride, Lioness Leader",pair,0.33087093639264903,1.392180100926727,187
Lessons from Life × Spicy Oatmeal Pizza,pair,0.3307562217796304,1.3920204066850035,264
Foot Ninjas × Go Ninja Go,pair,-0.330222966215166,0.7187634555970249,147
The Cloning of Shredder × Tunnel Rats,pair,0.33012712549499923,1.391144967215758,177
Ravenous Robots × TCRI Building,pair,-0.3288567027364584,0.7197461470110679,465
"Novel Nunchaku × Ray Fillet, Man Ray",pair,0.32885194107412624,1.3893721314129204,421
"General Traag, Heart of Stone × Wingnut, Bat on the Belfry",pair,0.3241277234794144,1.3828239149225892,178
Baxter Stockman × Courier of Comestibles,pair,-0.32336972104088885,0.7237062354761182,214
Brilliance Unleashed × Crustacean Commando,pair,0.3230441503194065,1.3813263355582936,355
"Ray Fillet, Man Ray × Venus, Torn Between Worlds",pair,-0.32297311481495294,0.7239933188006105,275
"Action News Crew × Savanti Romero, Time's Exile",pair,-0.3200156015760294,0.7261377080926555,205
Does Machines × Escape Tunnel,pair,0.3196919478173002,1.3767036024576473,313
"April O'Neil, Hacktivist × Bot Bashing Time",pair,0.31959749411806937,1.376573573850589,319
The Last Ronin × Tunnel Rats,pair,0.31811439482003734,1.3745334917456349,177
