feature,type,coefficient,odds_multiplier,count
Brilliance Unleashed (repeat),repeat,-0.1316211078920041,0.8766730966776864,929
"April O'Neil, Kunoichi Trainee (repeat)",repeat,-0.09626068134197219,0.90822722731441,1024
Everything Pizza (repeat),repeat,0.08954126257312732,1.0936724601211834,1049
Squirrelanoids (repeat),repeat,-0.06469899837496806,0.9373495646609871,1271
Courier of Comestibles (repeat),repeat,-0.06338112065208863,0.9385856911236595,930
Slithering Cryptid (repeat),repeat,-0.054377038147619274,0.9470749557893203,1093
Mechanized Ninja Cavalry (repeat),repeat,-0.049081607026395836,0.9521034281984573,1794
Anchovy & Banana Pizza (repeat),repeat,0.044782921640779884,1.0458008145413988,1747
Illegitimate Business (repeat),repeat,-0.03946593875922604,0.9613026965955735,920
Uneasy Alliance (repeat),repeat,-0.029482227954055935,0.9709481332226932,1246
Return to the Sewers (repeat),repeat,0.027061429423866447,1.027430915314176,2328
Sewer-veillance Cam (repeat),repeat,-0.025642143113449783,0.9746838245252475,2587
Primordial Pachyderm (repeat),repeat,-0.02555648140849243,0.9747673211796325,1982
Ragamuffin Raptor (repeat),repeat,0.02501356024346695,1.0253290241413615,1662
Buzz Bots (repeat),repeat,-0.024481224024177878,0.9758160106442254,2736
"Donatello, Turtle Techie (repeat)",repeat,0.022368919554973467,1.0226209797655617,1698
Frog Butler (repeat),repeat,-0.019501855269608168,0.9806870757480517,3521
TCRI Building (repeat),repeat,-0.012387109905768285,0.9876892945380085,938
Omni-Cheese Pizza (repeat),repeat,-0.011029890796867592,0.9890307154173243,1383
Stomped by the Foot (repeat),repeat,-0.010597169696980891,0.9894587824864685,1582
Manhole Missile (repeat),repeat,-0.010420389955612924,0.9896337142158681,2620
Mutant Town (repeat),repeat,-0.009099744830266123,0.990941532548298,1030
Tenderize (repeat),repeat,0.005188465923475401,1.0052019493220936,1877
Mouser Mark III (repeat),repeat,-0.004893575337083997,0.9951183786954371,1057
Mouser Foundry (repeat),repeat,-0.003942171929161308,0.9960655882299554,3217
Nobody (repeat),repeat,0.0035909166360137313,1.0035973717013784,3084
"Oroku Saki, Shredder Rising (repeat)",repeat,0.0,1.0,1523
Tunnel Rats (repeat),repeat,0.0,1.0,0
The Last Ronin's Technique (repeat),repeat,0.0,1.0,0
Baxter Stockman (repeat),repeat,0.0,1.0,0
Retro-Mutation (repeat),repeat,0.0,1.0,0
Donatello's Technique (repeat),repeat,0.0,1.0,0
"Leonardo, Leader in Blue (repeat)",repeat,0.0,1.0,0
The Cloning of Shredder (repeat),repeat,0.0,1.0,0
North Wind Avatar (repeat),repeat,0.0,1.0,0
The Ooze (repeat),repeat,0.0,1.0,0
"Shredder, Unrelenting (repeat)",repeat,0.0,1.0,0
Pain 101 (repeat),repeat,0.0,1.0,0
Foot Ninjas (repeat),repeat,0.0,1.0,0
Shredder's Revenge (repeat),repeat,0.0,1.0,0
"Sally Pride, Lioness Leader (repeat)",repeat,0.0,1.0,0
Bespoke B? (repeat),repeat,0.0,1.0,0
"Casey Jones, Jury-Rig Justiciar (repeat)",repeat,0.0,1.0,0
Prehistoric Pet (repeat),repeat,0.0,1.0,0
Bot Bashing Time (repeat),repeat,0.0,1.0,0
Grounded for Life (repeat),repeat,0.0,1.0,0
"Slash, Reptile Rampager (repeat)",repeat,0.0,1.0,0
Guac & Marshmallow Pizza (repeat),repeat,0.0,1.0,0
High-Flying Ace (repeat),repeat,0.0,1.0,0
"Savanti Romero, Time's Exile (repeat)",repeat,0.0,1.0,0
Spicy Oatmeal Pizza (repeat),repeat,0.0,1.0,0
Null Group Biological Assets (repeat),repeat,0.0,1.0,0
Transdimensional Bovine (repeat),repeat,0.0,1.0,0
Cowabunga! (repeat),repeat,0.0,1.0,0
"Michelangelo, Weirdness to 11 (repeat)",repeat,0.0,1.0,0
Saved by the Shell (repeat),repeat,0.0,1.0,0
Weather Maker (repeat),repeat,0.0,1.0,0
Ooze Spill (repeat),repeat,0.0,1.0,0
Improvised Arsenal (repeat),repeat,0.0,1.0,0
Henchbots (repeat),repeat,0.0,1.0,0
"Lita, Little Orphan Amphibian (repeat)",repeat,0.0,1.0,0
"Raphael, Most Attitude (repeat)",repeat,0.0,1.0,0
"Karai, Future of the Foot (repeat)",repeat,0.0,1.0,0
"Michelangelo, Game Master (repeat)",repeat,0.0,1.0,0
"Raphael, the Nightwatcher (repeat)",repeat,0.0,1.0,0
Tainted Treats (repeat),repeat,0.0,1.0,0
New Generation's Technique (repeat),repeat,0.0,1.0,0
Fugitive Droid (repeat),repeat,0.0,1.0,0
"General Traag, Heart of Stone (repeat)",repeat,0.0,1.0,0
"Old Hob, Alleycat Blues (repeat)",repeat,0.0,1.0,0
"Leonardo, Big Brother (repeat)",repeat,0.0,1.0,0
"April O'Neil, Hacktivist (repeat)",repeat,0.0,1.0,0
Shredder's Technique (repeat),repeat,0.0,1.0,0
Mutant Town Musicians (repeat),repeat,0.0,1.0,0
"Mutagen Man, Living Ooze (repeat)",repeat,0.0,1.0,0
Death in the Family (repeat),repeat,0.0,1.0,0
"Wingnut, Bat on the Belfry (repeat)",repeat,0.0,1.0,0
Dream Beavers (repeat),repeat,0.0,1.0,0
Foot Headquarters (repeat),repeat,0.0,1.0,0
