feature,type,coefficient,odds_multiplier,count
Gloom Ripper,card,0.5103222387593569,1.6658279027839034,4517
Deepchannel Duelist,card,0.4822928654119846,1.6197840945803312,9793
Blighted Blackthorn,card,-0.4614271812966299,0.6303833319033749,6377
Rimekin Recluse,card,0.4552975032395615,1.576642369480589,13981
Sunderflock,card,0.4037911224526214,1.497491122015435,4865
Shinestriker,card,-0.3985927469619927,0.671264020006195,11874
Ashling's Command,card,0.39049343179653184,1.4777097630026919,5636
"Brigid, Clachan's Heart",card,0.36939372001623605,1.4468571481667165,3800
Moonglove Extractor,card,-0.3438724794289487,0.7090193368356179,8321
Boggart Cursecrafter,card,0.33050554200567056,1.391671499057978,6668
Silvergill Mentor,card,0.323573441349061,1.3820576527194637,9245
Firdoch Core,card,-0.3234380589802072,0.7236567805731562,5882
Reaping Willow,card,-0.31928032630721476,0.7266718155251,7878
Champions of the Shoal,card,0.3102707064510864,1.3637942520679025,4276
Disruptor of Currents,card,0.3101302996716995,1.3636027795515577,5173
Eclipsed Elf,card,0.3048855302813343,1.3564697194115993,10442
Tanufel Rimespeaker,card,-0.30328280855074713,0.7383902437644982,10512
Unforgiving Aim,card,-0.3007652092366677,0.7402515565725163,4505
"Trystan, Callous Cultivator",card,0.2998873552478056,1.349706761628876,4106
Stoic Grove-Guide,card,-0.29287090611629746,0.7461184538092752,13055
Taster of Wares,card,0.29090179448051473,1.3376332145348258,3973
End-Blaze Epiphany,card,0.2906732143419522,1.3373274930915577,5209
Figure of Fable,card,0.2877069195848622,1.3333664632556985,5046
Boggart Mischief,card,0.28375934483015236,1.328113274965165,6212
Thoughtweft Lieutenant,card,0.27926141194189075,1.322152925261689,7106
Kinbinding,card,0.2650328450469695,1.3034737877330662,5037
Explosive Prodigy,card,0.2647165690316183,1.3030615954240738,11758
Chomping Changeling,card,-0.26173075924093303,0.7697182353333653,4150
Burning Curiosity,card,-0.2582708153531101,0.7723860297852128,8079
Eclipsed Kithkin,card,0.2575684813396235,1.2937804077621704,8602
Eclipsed Merrow,card,0.25676509064666847,1.2927414140386742,9879
Heirloom Auntie,card,-0.2554193167445086,0.7745916306138092,6739
Morcant's Eyes,card,-0.2502035432491498,0.7786422795612851,9752
Wanderwine Distracter,card,-0.24685237860467246,0.7812560151222603,4686
Kithkeeper,card,-0.24066956617360835,0.7861013379502704,5249
"Abigale, Eloquent First-Year",card,0.23203934412270233,1.261169347453777,4297
Assert Perfection,card,0.23056350649789367,1.2593094390785171,27508
Chitinous Graspling,card,-0.22975769249127082,0.7947261472877396,10921
Silvergill Peddler,card,-0.22948195861814064,0.7949453104203703,12722
Gathering Stone,card,-0.22239326344718732,0.8006004555226967,11656
Eclipsed Flamekin,card,0.2179060244619356,1.243470206346389,11549
Graveshifter,card,-0.210174475793929,0.8104428309774304,8880
Eclipsed Boggart,card,0.20667744637638855,1.229585900422577,6731
Gristle Glutton,card,-0.20446773482943767,0.8150810402220318,14411
Flock Impostor,card,-0.20088361992143997,0.8180076258061487,7638
High Perfect Morcant,card,0.19975206905781173,1.221099972160108,4062
Adept Watershaper,card,0.19951751204755033,1.2208135881894049,3926
Boulder Dash,card,0.19732225570202389,1.2181365289040147,9298
Noggle Robber,card,0.19722471365279445,1.2180177151655063,10086
Morcant's Loyalist,card,0.19673926000936373,1.217426567526913,10363
Glister Bairn,card,-0.1959117979909091,0.8220847410063373,4918
Virulent Emissary,card,0.19522239220723578,1.215581292238326,9377
Stalactite Dagger,card,-0.1912074055284632,0.8259612614528341,5292
Pyrrhic Strike,card,0.18576681289197225,1.204141437377312,10520
Sun-Dappled Celebrant,card,-0.18524084674758554,0.8309041391915182,10783
Dream Seizer,card,-0.17963698192607866,0.8355734846381233,6561
Protective Response,card,0.17907128305288925,1.1961060032165733,9174
Bristlebane Battler,card,0.17882830886532963,1.1958154156362768,4010
Blossoming Defense,card,0.17792957348112837,1.1947411768098009,8117
Pestered Wellguard,card,-0.17612059836213068,0.8385168534800004,7681
Lofty Dreams,card,-0.173244128181834,0.8409322945112986,6542
Burdened Stoneback,card,-0.1727380848421082,0.8413579503891738,5420
Bogslither's Embrace,card,0.16988421275457494,1.1851676160818405,22549
Mischievous Sneakling,card,-0.16620869842860356,0.8468694754166504,20714
Kinsbaile Aspirant,card,0.1625116862331622,1.176462066778376,6511
Shore Lurker,card,-0.1585253419297368,0.8534013366801873,9116
Creakwood Safewright,card,0.15665125521194467,1.1695876551693936,8855
Prideful Feastling,card,-0.15636734580144732,0.8552449620133136,16023
Hovel Hurler,card,-0.15624903378133667,0.8553461537584406,7321
Glamer Gifter,card,0.1562328030584831,1.1690983410808329,10074
Gutsplitter Gang,card,-0.1546007379523395,0.8567571798307586,4204
Wildvine Pummeler,card,-0.1505847460486179,0.860204827958205,11286
Cinder Strike,card,0.14975579498858693,1.161550551624582,26560
Sear,card,0.14941463026692228,1.1611543391446408,10887
Enraged Flamecaster,card,-0.148729660572393,0.8618020624863639,9058
Wanderbrine Trapper,card,0.14670798878122276,1.1580157600592695,10071
Dawn-Blessed Pennant,card,-0.1456449160974534,0.8644646061592336,4150
Great Forest Druid,card,-0.14530956578893225,0.8647545532458198,15622
"Sanar, Innovative First-Year",card,0.14236063149652886,1.1529923789368637,5726
Nameless Inversion,card,0.1411985761346959,1.1516533161440028,9601
Shimmerwilds Growth,card,-0.14077043187345092,0.868688712048989,4646
Foraging Wickermaw,card,-0.13857295190732155,0.8705997370410716,16662
Prismabasher,card,-0.13849895832740547,0.8706641582156366,8979
Rooftop Percher,card,-0.137534470307256,0.8715043084581028,11112
Slumbering Walker,card,0.13634233117887706,1.1460741633673701,4259
Dawnhand Dissident,card,0.13217276432108724,1.1413054791019024,4164
Stratosoarer,card,-0.1319820479801583,0.8763567273115173,13847
Summit Sentinel,card,-0.13193687473842866,0.8763963160799714,13937
Flaring Cinder,card,-0.13030128393637722,0.8778309147218604,16586
Safewright Cavalry,card,-0.12892081625680948,0.8790435687500269,19128
Lys Alana Dignitary,card,0.12804969284921175,1.1366094826573578,8431
"Ashling, Rekindled",card,0.12659443751928348,1.1349566286037063,4135
Evolving Wilds,card,-0.12472310185895648,0.882741298171178,27105
Unbury,card,-0.12383198106465985,0.8835282778928819,8671
Dawnhand Eulogist,card,0.1198018735777868,1.1272734867900795,19444
Boneclub Berserker,card,-0.11847693466406993,0.8882723037196042,5719
Feisty Spikeling,card,-0.11739873080762721,0.8892305588474002,14247
Pitiless Fists,card,0.11661520746247922,1.123686960133575,10671
Sting-Slinger,card,-0.11487971953195114,0.8914733642919532,5061
Unexpected Assistance,card,-0.11475542896286417,0.8915841729098173,22927
Pummeler for Hire,card,0.11374029453953687,1.120461097229866,8105
Scarblade Scout,card,0.11262051689486416,1.1192071321535217,19255
Gravelgill Scoundrel,card,-0.11261730263616423,0.893492531931699,14774
"Maralen, Fae Ascendant",card,0.11251392583119153,1.1190878410326321,3889
"Tam, Mindful First-Year",card,-0.1123605296017676,0.8937219861779045,4189
Timid Shieldbearer,card,-0.1119001815910201,0.8941335040298477,15766
Chaos Spewer,card,-0.109754045089355,0.896054497199663,8112
Run Away Together,card,-0.10877730083128563,0.8969301408550605,5838
Meanders Guide,card,-0.10639765478624623,0.8990670586630317,6113
Tend the Sprigs,card,-0.10609228230888351,0.8993416509223763,4863
Flamekin Gildweaver,card,0.10378731509287965,1.109364484740425,19173
