feature,type,coefficient,odds_multiplier,count
Plains × Reaping Willow,pair,0.19391639646810555,1.2139947844617935,3866
Forest × Trystan's Command,pair,0.19366474767686967,1.213689322577886,3980
Reaping Willow × Swamp,pair,0.18429531231080856,1.2023708455853241,4428
Forest × Shinestriker,pair,0.1836029343034155,1.201538638589267,2924
Island × Shinestriker,pair,0.14786033471071647,1.159350963967306,10334
Blossombind × Stratosoarer,pair,0.14157479806241405,1.152086674889085,2280
Blighted Blackthorn × Swamp,pair,0.14102622102332132,1.1514548399131217,5465
Mountain × Shinestriker,pair,0.14092116271837965,1.151333876373647,7183
Swamp × Trystan's Command,pair,0.1397785822187469,1.150019135979336,3589
Plains × Shinestriker,pair,0.1365207166820316,1.1462786246195744,3332
"Forest × Maralen, Fae Ascendant",pair,0.13607684784411134,1.1457699401614732,3014
Liminal Hold × Silvergill Peddler,pair,0.13527399497306955,1.1448504246426894,1860
Evolving Wilds × Unexpected Assistance,pair,0.13471766668061536,1.1442136890942551,2188
Morcant's Eyes × Swamp,pair,0.13059392148380525,1.1395049588643316,7948
Forest × Kithkeeper,pair,0.12755539868588797,1.1360478020532603,2669
Gathering Stone × Swamp,pair,0.12420642234117289,1.132249568484873,4329
Dawn-Blessed Pennant × Forest,pair,0.12370416731112403,1.131681033230628,2231
Dawnhand Eulogist × Morcant's Eyes,pair,0.12365946613862283,1.1316304468921878,2335
Liminal Hold × Timid Shieldbearer,pair,-0.12285134545058685,0.884395122147932,2492
Mountain × Reaping Willow,pair,0.12121891579590925,1.1288720132344725,1837
"Mountain × Sanar, Innovative First-Year",pair,0.11991355414789433,1.1273993883660003,3576
Evolving Wilds × Flaring Cinder,pair,0.11987002172254951,1.1273503110045286,1849
Dawnhand Eulogist × Midnight Tilling,pair,-0.11804876964579536,0.8886527122797666,2734
Gravelgill Scoundrel × Wanderbrine Preacher,pair,0.11783145512354591,1.1250544732193293,2804
Spiral into Solitude × Timid Shieldbearer,pair,-0.11715108750774644,0.8894507981066109,2410
Mountain × Prismabasher,pair,0.11632398653393372,1.1233597666187625,2514
Kinbinding × Plains,pair,0.11598653426813765,1.1229807502737716,4130
Prismabasher × Swamp,pair,0.11584346051079882,1.122820092691627,3299
Flaring Cinder × Shinestriker,pair,-0.11424355199380683,0.8920406711394034,2044
Tweeze × Unexpected Assistance,pair,-0.11069469022534592,0.8952120241914774,1898
Graveshifter × Mountain,pair,0.10926217092919481,1.1154547518189486,2827
Forest × Graveshifter,pair,0.10901176261427663,1.1151754676431773,4463
Forest × Unforgiving Aim,pair,0.10839864998446817,1.1144919490378693,3900
Eclipsed Flamekin × Tweeze,pair,-0.10835106681383909,0.8973125244790311,1935
Kulrath Zealot × Shinestriker,pair,-0.10810234738417222,0.8975357312951378,1935
Champions of the Perfect × Forest,pair,0.10781181690821642,1.1138381201619263,3685
Kithkeeper × Plains,pair,0.10704113108938342,1.11298003161905,2955
Flock Impostor × Forest,pair,0.1067186472947057,1.1126211714614556,2546
Plains × Slumbering Walker,pair,0.10628796918263723,1.1121420930475816,3592
Evolving Wilds × Tweeze,pair,0.10612295149335194,1.1119585850706775,1991
Forest × Gathering Stone,pair,0.10346858711692851,1.1090109555864203,4722
Gnarlbark Elm × Swamp,pair,0.10304148296429612,1.108537393539332,5773
Gathering Stone × Mountain,pair,0.10287616506176002,1.1083541476098828,3878
Shinestriker × Unexpected Assistance,pair,-0.10266593905755433,0.9024283892112916,1936
Forest × Personify,pair,0.1019566886051076,1.1073355104437346,1945
Kulrath Zealot × Tweeze,pair,0.10181063756771207,1.107173794753349,4029
Forest × Morcant's Eyes,pair,0.10177956562447736,1.107139393246511,8456
Blighted Blackthorn × Forest,pair,0.1016435516012188,1.1069888170038,2556
Hovel Hurler × Plains,pair,0.1009723349833346,1.1062460370250349,3419
Gathering Stone × Plains,pair,0.10091686049175048,1.1061846702907239,3770
Glister Bairn × Island,pair,0.09942718865897159,1.1045380449157653,2663
Dawnhand Eulogist × Lys Alana Informant,pair,-0.0991668926724562,0.9055915588156472,3581
Plains × Prismabasher,pair,0.09860530277271093,1.103630613639371,2412
Forest × Prismabasher,pair,0.09781907634077995,1.1027632510961984,7431
Island × Kithkeeper,pair,0.09719910633895074,1.1020797828481963,2366
Moonlit Lamenter × Plains,pair,0.09683364253638158,1.1016770861700338,6055
Stratosoarer × Unexpected Assistance,pair,-0.09616629034308154,0.9083129598357413,1999
Blossombind × Tanufel Rimespeaker,pair,0.09597392812826168,1.1007303655189609,1891
Assert Perfection × Crossroads Watcher,pair,-0.09593565659149232,0.9085224716206012,2250
Mistmeadow Council × Surly Farrier,pair,0.09572776433099349,1.100459438899947,2382
