feature,type,coefficient,odds_multiplier,count
Sunbaked Canyon (repeat),squared,-0.624024718781115,0.5357837135834269,17
Sunbillow Verge (repeat),squared,-0.49042472840522594,0.6123662496023222,9
"Kytheon, Hero of Akros (repeat)",squared,-0.48983726371206476,0.6127260988422597,27
The Wandering Emperor (repeat),squared,-0.4553580907851894,0.6342208186496864,36
"Phlage, Titan of Fire's Fury (repeat)",squared,-0.45284781582178385,0.6358148872301544,62
Bayou (repeat),squared,0.4429223522051842,1.5572514125090282,16
Preacher of the Schism (repeat),squared,-0.40798951275820916,0.6649858526532579,51
Guide of Souls (repeat),squared,-0.3689674964794806,0.6914478845755668,45
"Saheeli, Sublime Artificer (repeat)",squared,-0.36766147978964914,0.6923515170040454,74
Lightning Helix (repeat),squared,-0.35158550702689456,0.703571687066691,35
Volcanic Island (repeat),squared,0.3467708160235441,1.4144925092013465,20
Wasteland (repeat),squared,0.3423952475158141,1.4083168212496238,25
Witch Enchanter (repeat),squared,-0.30340669254033636,0.7382987747011203,31
"Chandra, Torch of Defiance (repeat)",squared,-0.2954985017661886,0.7441605296487471,31
Lightstall Inquisitor (repeat),squared,-0.28241108043241886,0.7539636811032264,23
Umezawa's Jitte (repeat),squared,0.2821977709940919,1.3260409464917333,21
Glimmer Lens (repeat),squared,0.28005028641329466,1.3231963494629653,12
Sanguine Evangelist (repeat),squared,-0.27263798400908973,0.7613683652673687,34
Glorybringer (repeat),squared,-0.27108906130663096,0.7625485798078525,23
"Phelia, Exuberant Shepherd (repeat)",squared,-0.26883712385508957,0.7642677264922286,77
Sacred Foundry (repeat),squared,-0.26038658195118053,0.7707535687847773,13
Tolarian Academy (repeat),squared,-0.2559114420125601,0.7742105282826978,17
"Urza, Lord High Artificer (repeat)",squared,-0.25105507045417724,0.7779795266933495,113
Esper Sentinel (repeat),squared,-0.24422693763804235,0.7833098516032589,30
Sage of the Skies (repeat),squared,-0.24336365647833058,0.7839863602069164,31
Goblin Rabblemaster (repeat),squared,-0.23638509989949982,0.7894765880301277,37
Reanimate (repeat),squared,-0.22928033593594763,0.7951056055850815,51
