feature,type,coefficient,odds_multiplier,count
Catharsis,card,-0.4932273938348145,0.6106523946871273,6500
Eclipsed Boggart,card,-0.2777674182055022,0.7574729754523563,22412
Bloodline Bidding,card,-0.2530995043756663,0.7763906237157556,13555
Sygg's Command,card,-0.22220480652299843,0.8007513484400096,13179
Glen Elendra's Answer,card,0.20936524435830903,1.2328952243291056,7036
Brigid's Command,card,-0.2066203623971036,0.8133283614141252,12164
Steam Vents,card,-0.20421500033938308,0.8152870653468162,9731
Hovel Hurler,card,-0.1969003219966715,0.8212724920350278,27119
Morningtide's Light,card,-0.19539211280243007,0.8225120773004666,4668
"Maralen, Fae Ascendant",card,-0.1938781624736917,0.8237582628237521,14454
Morcant's Loyalist,card,-0.1599624523140393,0.8521757855942887,34833
Thoughtweft Charge,card,-0.15841817402435268,0.8534927988147064,21828
Deepway Navigator,card,-0.15678941229004606,0.8548840679413091,12201
Rimekin Recluse,card,0.14957549517064025,1.1613411431503105,45579
Champion of the Path,card,-0.1493842005633654,0.8612381631396331,12151
Hallowed Fountain,card,-0.1436027957351876,0.8662317506807143,9821
Riverguard's Reflexes,card,-0.13684069764312312,0.8721091441089456,20233
Collective Inferno,card,-0.1358527815813542,0.872971140459939,5164
Aurora Awakener,card,0.13213052303088674,1.1412572699041688,10235
Champion of the Clachan,card,-0.13199043914085382,0.8763493736922446,11501
Winnowing,card,0.12889345259050958,1.137568912687698,7538
Thoughtweft Lieutenant,card,-0.12470439134365559,0.8827578148702616,25160
Figure of Fable,card,0.12277863821866346,1.1306341140627938,19968
Bitterbloom Bearer,card,-0.1213264627851722,0.8857447496893737,7985
Spinerock Tyrant,card,0.11941984794024565,1.1268429216662998,9773
Mudbutton Cursetosser,card,-0.11768648152224477,0.888974718929457,19553
Lasting Tarfire,card,-0.11733351424084928,0.8892885533026013,9241
Selfless Safewright,card,-0.1141692292517935,0.8921069725118893,15382
Wistfulness,card,0.11386818967210693,1.1206044079146102,10171
Moonglove Extractor,card,-0.11356097441697563,0.8926497659527268,31766
Clachan Festival,card,0.1098742639281165,1.1161377228627247,27821
"Eirdu, Carrier of Dawn",card,0.106401576199738,1.112268447370598,9032
Boulder Dash,card,0.1058566313855948,1.1116624875705892,32410
Prismabasher,card,0.10564739175849967,1.1114299080595078,32407
"Sygg, Wanderwine Wisdom",card,-0.10188924027599872,0.9031295765120444,17169
Chronicle of Victory,card,0.10029796581246547,1.1055002702915788,11582
Bre of Clan Stoutarm,card,-0.10006086073195197,0.9047823506441383,11493
Appeal to Eirdu,card,-0.09577106922061036,0.9086720152517513,9776
Sear,card,0.09514336409187876,1.0998165180205732,36685
Flamebraider,card,0.09508817282513482,1.0997558194287893,34841
High Perfect Morcant,card,-0.09357385345858589,0.9106707587574199,15391
Shinestriker,card,0.0934274181071476,1.097930910545499,39588
Vinebred Brawler,card,-0.09306496959069713,0.9111343023504344,27510
Blighted Blackthorn,card,-0.09139201338377169,0.9126598658815734,23017
Emptiness,card,0.08813983808174976,1.0921408342297172,8260
Kindle the Inner Flame,card,-0.08588244792189448,0.9177021026690209,11885
Reckless Ransacking,card,0.08525014077267865,1.0889894332902657,9135
Tend the Sprigs,card,-0.08395645133800435,0.9194712969679815,16388
"Ashling, Rekindled",card,-0.08240318783014951,0.9209005879254628,15238
Luminollusk,card,-0.08130085510565215,0.9219162864955768,14367
Dream Harvest,card,-0.0805518499975666,0.9226070651694726,7619
Dawn-Blessed Pennant,card,-0.08038448703536281,0.9227614883428488,16200
Pummeler for Hire,card,0.07957128604117895,1.082822746925141,29253
Protective Response,card,0.07903406158541572,1.0822411842930575,34105
Virulent Emissary,card,0.07808179355500397,1.0812110911522854,36734
Wanderwine Farewell,card,-0.07347086315783749,0.9291632182791482,27670
Boggart Mischief,card,-0.073328603645665,0.9292954099878503,20468
Bogslither's Embrace,card,-0.07160996102416806,0.9308939099190112,73599
Mirrorform,card,0.06839640253724723,1.0707896881098609,6761
Scarblade's Malice,card,-0.06796869039952336,0.9342897253573107,32677
Silvergill Mentor,card,0.06789818052257601,1.0702563299905727,31334
Champion of the Weird,card,-0.067435349619378,0.9347881530724129,11459
Dose of Dawnglow,card,-0.06719100209978295,0.9350165941473314,12410
Bark of Doran,card,0.06701906780495742,1.069315867486609,3644
Sapling Nursery,card,0.06681305539660433,1.0690955978393772,12690
Kinscaer Sentry,card,0.06668263229796036,1.0689561721711218,14389
Stalactite Dagger,card,-0.06656727605830302,0.9355999702608412,20848
Perfect Intimidation,card,-0.06593468258181148,0.9361920119397424,3664
Flaring Cinder,card,-0.06571126315218881,0.9364011987924008,50565
Wild Unraveling,card,-0.06570996937157278,0.9364024102909044,23775
Moonshadow,card,-0.06478105548399313,0.9372726516212391,7193
Champions of the Shoal,card,-0.06444157087544491,0.9375908952768326,15508
Ashling's Command,card,0.06365071307065405,1.0657200916459326,19286
Run Away Together,card,-0.059540792309427236,0.9421970984117257,20817
Stoic Grove-Guide,card,0.05802505718362837,1.0597415495162092,48151
Boneclub Berserker,card,-0.05781516130474031,0.94382438658292,18382
Boggart Cursecrafter,card,-0.057004248258519144,0.9445900564952449,21690
Gloom Ripper,card,0.056477123482226395,1.0581024088247912,16982
Encumbered Reejerey,card,0.05624612998209526,1.0578580222728187,31593
Tanufel Rimespeaker,card,-0.05437756735752131,0.9470744545880084,34689
Boggart Prankster,card,-0.05329999672674732,0.948095544254743,26961
Scuzzback Scrounger,card,0.051509028275137196,1.052858691747174,13855
Meanders Guide,card,0.051287397080535445,1.0526253712740778,22164
Soulbright Seeker,card,-0.05105206655468924,0.9502291940841029,22336
Disruptor of Currents,card,-0.0508019721352076,0.950466870822346,18833
Great Forest Druid,card,0.050600209317827445,1.051902268482373,53377
Explosive Prodigy,card,0.04976653164026571,1.051025686486354,38128
Shimmerwilds Growth,card,-0.04866409289188721,0.9525010278332021,17318
Glen Elendra Guardian,card,-0.04442801245585068,0.9565444569014968,15833
Firdoch Core,card,-0.04430288385628681,0.9566641554585097,22415
Rime Chill,card,0.04297711023744657,1.0439139996335578,15585
Eclipsed Kithkin,card,0.04278754392776028,1.0437161274645586,32063
Blight Rot,card,-0.04208294904627831,0.9587902465373628,68921
Warren Torchmaster,card,-0.041291999657337874,0.9595489010861081,17069
Voracious Tome-Skimmer,card,-0.038673020034384456,0.9620652337789986,10303
Harmonized Crescendo,card,-0.03815055487394857,0.9625680106759839,10160
Kinbinding,card,0.037749047576939754,1.0384705934641127,18985
Dawnhand Dissident,card,0.03650470099988101,1.03717917978549,16605
Heirloom Auntie,card,-0.03532756899827744,0.9652891656584055,23386
Keep Out,card,0.03459560428854023,1.035200993299764,41948
Barbed Bloodletter,card,-0.034344808606504386,0.9662382799165831,15561
Swat Away,card,0.032577824632032445,1.033114291755039,29746
Swamp,card,-0.03224146465770484,0.9682727502010743,170279
Wanderbrine Trapper,card,0.03097704164748346,1.0314618229505474,37089
Cinder Strike,card,0.030938881813292855,1.0314224632893936,77579
"Kirol, Attentive First-Year",card,-0.030615709818795068,0.969848204614412,13543
Glister Bairn,card,-0.029949352247861428,0.9704946856780673,17502
Eclipsed Realms,card,0.028733040698476084,1.0291498166832937,20054
Unexpected Assistance,card,0.028710937110815002,1.0291270690315075,76247
Bile-Vial Boggart,card,-0.028310353006053685,0.9720866299734462,29625
Foraging Wickermaw,card,-0.026278061744796792,0.9740642019572079,55362
Flamekin Gildweaver,card,-0.02613993292026926,0.9741987575932306,54684
"Grub, Storied Matriarch",card,-0.02147034277954642,0.9787585042954506,10349
Kulrath Zealot,card,0.020746645561111294,1.020963353270229,65854
Sizzling Changeling,card,0.02063676484918855,1.0208511752533376,33021
Omni-Changeling,card,0.01995015531929287,1.0201504896840252,38588
Unforgiving Aim,card,-0.01943250486656231,0.9807550891503678,18067
Darkness Descends,card,0.01913754051077852,1.0193218370225063,5121
Moon-Vigil Adherents,card,-0.018907073323323198,0.9812705442167163,36872
Noggle Robber,card,0.018820556831347802,1.018998779840715,35746
Pitiless Fists,card,-0.018355302030546094,0.981812130535614,39373
Requiting Hex,card,-0.018307731890136566,0.9818588365874173,21266
Blood Crypt,card,0.01674490413534799,1.016885885851758,7815
Taster of Wares,card,-0.016663843529250374,0.9834742303005958,15652
Grub's Command,card,-0.015624834053465248,0.9844966003791942,12822
Burdened Stoneback,card,-0.015178163712315283,0.9849364440367919,20357
Sunderflock,card,-0.01494516857171773,0.9851659561786185,16370
Island,card,-0.014865159097004678,0.9852447819426394,178750
Wanderwine Distracter,card,0.014380282543900313,1.0144841762163483,16826
Formidable Speaker,card,0.014266412299610221,1.0143686632322448,15700
Eclipsed Merrow,card,0.013704248324683662,1.0137985819670698,32848
Feed the Flames,card,0.013426596812854474,1.0135171383315298,66717
Eclipsed Flamekin,card,-0.013044340865608423,0.9870403678256573,35748
Thoughtweft Imbuer,card,0.012533135647121744,1.0126120045387847,26140
Wanderbrine Preacher,card,-0.011146671051645943,0.9889152229021483,54691
"Doran, Besieged by Time",card,0.01015526947200255,1.0102070092163897,9584
Tweeze,card,0.009782861751298597,1.0098308703695007,67056
Moonlit Lamenter,card,0.009439521159904431,1.0094842139552747,25506
Mountain,card,-0.008539401986737125,0.9914969551434224,149853
Enraged Flamecaster,card,-0.008353776964925515,0.9916810188702352,27837
"Lluwen, Imperfect Naturalist",card,0.007076852202541791,1.0071019522960394,15757
Graveshifter,card,-0.005784328195448313,0.9942323688217001,33551
Stratosoarer,card,0.005447245807968287,1.0054621090270286,44932
Silvergill Peddler,card,-0.005368019822516393,0.9946463622499666,43484
Bristlebane Outrider,card,0.005016616748135322,1.005029221038084,26852
Goliath Daydreamer,card,-0.004729237839298164,0.9952819273980168,14878
Dundoolin Weaver,card,0.004521691092152112,1.0045319293629347,36898
Morcant's Eyes,card,-0.00408677450924302,0.9959215649892837,34357
Champions of the Perfect,card,0.0034839794019976707,1.0034900555125332,16231
Flame-Chain Mauler,card,-0.0031654268709033553,0.9968395778106903,40734
"Brigid, Clachan's Heart",card,-0.0029339847946347167,0.997070315132418,15255
Shimmercreep,card,0.0027797582758418444,1.0027836253862585,20717
Retched Wretch,card,-0.0027707222833037062,0.9972331126250422,16476
Soul Immolation,card,0.002582007649794976,1.0025853439023387,11028
Shadow Urchin,card,0.0016302294666126072,1.00163155901306,12964
Sting-Slinger,card,-0.0013502410821912866,0.998650670083155,18270
Rooftop Percher,card,-0.0011842894428478082,0.9988164115511405,40363
Reaping Willow,card,-0.0009013530029978363,0.9990990530935989,28877
Feisty Spikeling,card,8.744459862942163e-10,1.000000000874446,52263
Dawnhand Eulogist,card,2.5413249252860486e-10,1.0000000002541325,57081
Giantfall,card,0.0,1.0,22337
Iron-Shield Elf,card,0.0,1.0,34225
Hexing Squelcher,card,0.0,1.0,8378
Gutsplitter Gang,card,0.0,1.0,15385
Gristle Glutton,card,0.0,1.0,46352
Gravelgill Scoundrel,card,0.0,1.0,44906
Flock Impostor,card,0.0,1.0,29738
Forest,card,0.0,1.0,187693
Unbury,card,0.0,1.0,33109
"Ajani, Outland Chaperone",card,0.0,1.0,8462
Aquitect's Defenses,card,0.0,1.0,20473
Twinflame Travelers,card,0.0,1.0,31036
Auntie's Sentence,card,0.0,1.0,40624
Assert Perfection,card,0.0,1.0,87045
Twilight Diviner,card,0.0,1.0,11786
"Trystan, Callous Cultivator",card,0.0,1.0,16002
Vibrance,card,0.0,1.0,9727
Gathering Stone,card,0.0,1.0,44918
Gangly Stompling,card,0.0,1.0,60046
Gilt-Leaf's Embrace,card,0.0,1.0,34924
Glamermite,card,0.0,1.0,26355
Glamer Gifter,card,0.0,1.0,34314
Gnarlbark Elm,card,0.0,1.0,24059
Goldmeadow Nomad,card,0.0,1.0,29911
Gallant Fowlknight,card,0.0,1.0,34400
Eclipsed Elf,card,0.0,1.0,36251
Deceit,card,0.0,1.0,9391
End-Blaze Epiphany,card,0.0,1.0,19039
Evolving Wilds,card,0.0,1.0,100777
Evershrike's Gift,card,0.0,1.0,14586
Elder Auntie,card,0.0,1.0,31224
Deepchannel Duelist,card,0.0,1.0,31493
Dream Seizer,card,0.0,1.0,21581
Flitterwing Nuisance,card,0.0,1.0,16555
Unwelcome Sprite,card,0.0,1.0,30500
Creakwood Safewright,card,0.0,1.0,32124
Crib Swap,card,0.0,1.0,7806
Crossroads Watcher,card,0.0,1.0,44331
Curious Colossus,card,0.0,1.0,9459
Dawn's Light Archer,card,0.0,1.0,48944
Illusion Spinners,card,0.0,1.0,9495
Reluctant Dounguard,card,0.0,1.0,26787
Puca's Eye,card,0.0,1.0,8870
Plains,card,0.0,1.0,173057
Prismatic Undercurrents,card,0.0,1.0,7379
Prideful Feastling,card,0.0,1.0,61154
Pyrrhic Strike,card,0.0,1.0,38430
Pestered Wellguard,card,0.0,1.0,26719
Nightmare Sower,card,0.0,1.0,11028
Nameless Inversion,card,0.0,1.0,35979
Mutable Explorer,card,0.0,1.0,13031
Noggle the Mind,card,0.0,1.0,24849
Overgrown Tomb,card,0.0,1.0,10214
"Oko, Lorwyn Liege",card,0.0,1.0,8469
Personify,card,0.0,1.0,21003
Kulrath Mystic,card,0.0,1.0,26686
Lys Alana Informant,card,0.0,1.0,73028
Lys Alana Dignitary,card,0.0,1.0,32064
Loch Mare,card,0.0,1.0,10349
Lofty Dreams,card,0.0,1.0,23837
Liminal Hold,card,0.0,1.0,75594
Kinsbaile Aspirant,card,0.0,1.0,24023
Kithkeeper,card,0.0,1.0,18548
Burning Curiosity,card,0.0,1.0,28408
Chaos Spewer,card,0.0,1.0,28127
Changeling Wayfinder,card,0.0,1.0,73302
Merrow Skyswimmer,card,0.0,1.0,70601
Chitinous Graspling,card,0.0,1.0,40926
Midnight Tilling,card,0.0,1.0,46305
Chomping Changeling,card,0.0,1.0,17431
Mischievous Sneakling,card,0.0,1.0,74913
Mistmeadow Council,card,0.0,1.0,56539
"Rhys, the Evermore",card,0.0,1.0,11933
Sun-Dappled Celebrant,card,0.0,1.0,37211
Surly Farrier,card,0.0,1.0,41909
Spell Snare,card,0.0,1.0,4758
Spiral into Solitude,card,0.0,1.0,68041
Springleaf Drum,card,0.0,1.0,8329
Summit Sentinel,card,0.0,1.0,42820
Squawkroaster,card,0.0,1.0,16275
Sourbread Auntie,card,0.0,1.0,22826
Safewright Cavalry,card,0.0,1.0,62370
Shore Lurker,card,0.0,1.0,31263
Scarblade Scout,card,0.0,1.0,62130
"Sanar, Innovative First-Year",card,0.0,1.0,21020
Slumbering Walker,card,0.0,1.0,16320
Spry and Mighty,card,0.0,1.0,13563
Blossombind,card,0.0,1.0,74471
"Tam, Mindful First-Year",card,0.0,1.0,16228
Bristlebane Battler,card,0.0,1.0,16457
Boldwyr Aggressor,card,0.0,1.0,7938
Brambleback Brute,card,0.0,1.0,23438
Bloom Tender,card,0.0,1.0,6992
Blossoming Defense,card,0.0,1.0,32668
Temporal Cleansing,card,0.0,1.0,65896
Temple Garden,card,0.0,1.0,8844
Timid Shieldbearer,card,0.0,1.0,54684
Thirst for Identity,card,0.0,1.0,16181
Trystan's Command,card,0.0,1.0,18784
Tributary Vaulter,card,0.0,1.0,38386
Wary Farmer,card,0.0,1.0,53135
Wildvine Pummeler,card,0.0,1.0,37114
Adept Watershaper,card,0.0,1.0,15382
"Abigale, Eloquent First-Year",card,0.0,1.0,17482
