feature,type,coefficient,odds_multiplier,count
Aurora Awakener × Midnight Tilling,pair,0.18375636373771723,1.2017230041260656,1933
Bloodline Bidding × Blossoming Defense,pair,-0.16024382699427434,0.8519360386360567,1836
Bloodline Bidding × Gilt-Leaf's Embrace,pair,-0.1511864077637017,0.8596874313105775,2113
"Eclipsed Flamekin × Kirol, Attentive First-Year",pair,0.14570432581702872,1.1568540855912817,1906
Bristlebane Battler × Lys Alana Dignitary,pair,0.1455659693112095,1.1566940383742987,2409
Bogslither's Embrace × Eclipsed Kithkin,pair,0.14391310470944127,1.15478375889476,2096
"Brambleback Brute × Grub, Storied Matriarch",pair,-0.13985446131991994,0.8694847698565081,2198
Reaping Willow × Riverguard's Reflexes,pair,-0.13983208911072123,0.8695042223692715,1853
Glen Elendra Guardian × Sear,pair,-0.1373587345505085,0.871657476385405,1827
Gilt-Leaf's Embrace × Twilight Diviner,pair,0.13716781944235926,1.1470206247309382,2036
Kinscaer Sentry × Personify,pair,0.13470239662250608,1.1441962170181335,2007
Aquitect's Defenses × Champions of the Shoal,pair,-0.1339784642312672,0.8746088997755156,2486
Formidable Speaker × Gallant Fowlknight,pair,-0.132820604608649,0.8756221605998445,1924
Mischievous Sneakling × Trystan's Command,pair,0.13281007019025906,1.1420330716071125,4286
Bitterbloom Bearer × Mischievous Sneakling,pair,0.13229854795081747,1.141449045676668,2228
"Gathering Stone × Lluwen, Imperfect Naturalist",pair,-0.13226348929908124,0.8761101190228445,2050
"Grub, Storied Matriarch × Unbury",pair,0.1313656311578888,1.1403846652600633,2204
Moonshadow × Stoic Grove-Guide,pair,-0.131362763443813,0.876899609563005,2116
Blossoming Defense × Gloom Ripper,pair,-0.13116918127344782,0.8770693781241696,3081
"Abigale, Eloquent First-Year × Nameless Inversion",pair,-0.1306683905936079,0.8775087162933556,2284
Foraging Wickermaw × Slumbering Walker,pair,0.1303664506245537,1.13924578417068,2314
Stalactite Dagger × Virulent Emissary,pair,-0.1296345124638095,0.8784164225117883,1818
"Champions of the Perfect × Lluwen, Imperfect Naturalist",pair,0.12925872216863968,1.137984507902053,1902
