feature,type,coefficient,odds_multiplier,count
Mirrorform (repeat),squared,-0.19463684643832527,0.8231335276572563,76
Dream Harvest (repeat),squared,0.17404119703410775,1.1901045935899903,135
Emptiness (repeat),squared,0.16250362993012354,1.176452588881631,112
"Oko, Lorwyn Liege (repeat)",squared,-0.14777496568865714,0.8626252133726613,129
Collective Inferno (repeat),squared,0.1424938442453223,1.1531459824517458,148
Selfless Safewright (repeat),squared,-0.10976049599397232,0.8960487168562139,492
Champions of the Perfect (repeat),squared,0.10482209257020193,1.1105130242623056,693
Goliath Daydreamer (repeat),squared,-0.10406923609174494,0.901162902263853,716
"Maralen, Fae Ascendant (repeat)",squared,-0.10173935224770299,0.903264954969115,666
Bristlebane Battler (repeat),squared,-0.09084369125050225,0.9131604347101254,692
Wistfulness (repeat),squared,-0.0889092194293136,0.9149286275474975,73
Aurora Awakener (repeat),squared,0.08874924974104574,1.092806600429928,120
"Eirdu, Carrier of Dawn (repeat)",squared,-0.08027126443054786,0.9228659717170102,98
Bloom Tender (repeat),squared,0.06895403310032319,1.0713869596795416,75
Disruptor of Currents (repeat),squared,0.06800273808232726,1.0703682392311216,801
Temple Garden (repeat),squared,-0.06578021665278916,0.9363366328778262,330
"Doran, Besieged by Time (repeat)",squared,-0.06574495876051059,0.9363696467159605,573
Champion of the Path (repeat),squared,0.06455990539262747,1.0666894767826145,836
Kinbinding (repeat),squared,-0.0616023030210866,0.9402567497128478,762
Overgrown Tomb (repeat),squared,-0.059469642000027884,0.942264138411723,386
Vibrance (repeat),squared,0.0581339627420387,1.0598569675461482,112
Spry and Mighty (repeat),squared,-0.05628590555166834,0.9452688396435656,331
Slumbering Walker (repeat),squared,0.05344146528321053,1.0548952419661242,564
Spell Snare (repeat),squared,0.052851165871036186,1.0542727216796424,345
Trystan's Command (repeat),squared,-0.05272310953215872,0.9486426462263579,846
High Perfect Morcant (repeat),squared,-0.052326774914688505,0.9490187006634391,717
Bitterbloom Bearer (repeat),squared,0.05226845206062226,1.0536585613620049,142
"Brigid, Clachan's Heart (repeat)",squared,0.05225811112472862,1.0536476656027043,706
"Sygg, Wanderwine Wisdom (repeat)",squared,0.049928626692536913,1.0511960663584374,636
Aquitect's Defenses (repeat),squared,-0.046890397980478775,0.9541919732266926,1413
Sunderflock (repeat),squared,-0.046391819836940316,0.9546678311055947,882
"Rhys, the Evermore (repeat)",squared,0.045684102557359586,1.0467436950671638,367
Ashling's Command (repeat),squared,0.04555629057744646,1.0466099172324228,1191
Morningtide's Light (repeat),squared,-0.044496521901538855,0.9564789268157189,23
Requiting Hex (repeat),squared,-0.04439709027222404,0.9565740358021598,1503
Chitinous Graspling (repeat),squared,-0.04398852811684547,0.9569649356000008,4219
Hexing Squelcher (repeat),squared,0.042777787462451415,1.0437059445340433,362
Pummeler for Hire (repeat),squared,-0.04276991375188313,0.9581318176625063,3303
Crib Swap (repeat),squared,0.04100360096393763,1.0418558572240948,780
Reckless Ransacking (repeat),squared,-0.04030836711898473,0.9604932089571941,920
Chomping Changeling (repeat),squared,-0.03978008410010346,0.96100075526148,609
Harmonized Crescendo (repeat),squared,0.03976741644890947,1.0405687268757167,209
Noggle the Mind (repeat),squared,-0.038281012711660074,0.9624424443253963,2745
Thoughtweft Charge (repeat),squared,-0.037808343893218015,0.9628974683877454,1986
"Lluwen, Imperfect Naturalist (repeat)",squared,-0.03761620860600132,0.963082492743679,606
Champion of the Weird (repeat),squared,-0.03723240878369915,0.9634521945744666,822
Loch Mare (repeat),squared,0.03528781978004108,1.0359178235360171,174
Dawnhand Dissident (repeat),squared,0.035168004989759194,1.0357937126945467,701
Champions of the Shoal (repeat),squared,0.03411686253908101,1.0347055179770144,1027
Blood Crypt (repeat),squared,-0.034088200155954124,0.9664862566395555,377
Glamer Gifter (repeat),squared,0.033693246036815706,1.0342672924709457,5466
Kinscaer Sentry (repeat),squared,-0.03339972539280358,0.9671518871447936,523
"Abigale, Eloquent First-Year (repeat)",squared,-0.03294537385863581,0.9675914139307646,368
Boggart Mischief (repeat),squared,0.03282901699148412,1.0333738347678145,5736
Personify (repeat),squared,-0.032508798046722256,0.9680139331620293,1438
Deepway Navigator (repeat),squared,0.032379532210685895,1.032909453330224,1066
Shadow Urchin (repeat),squared,-0.032124119135296114,0.9683863793395857,441
"Ajani, Outland Chaperone (repeat)",squared,0.03209423117593271,1.0326148052280855,155
Hallowed Fountain (repeat),squared,0.031779686481991115,1.0322900527974699,373
Hovel Hurler (repeat),squared,0.03148495141730985,1.0319858455544617,1940
Silvergill Mentor (repeat),squared,-0.031145151945188288,0.96933486202327,7967
Luminollusk (repeat),squared,0.03113449339680802,1.0316242412051162,1916
Champion of the Clachan (repeat),squared,0.03097500584409126,1.0314597230992069,786
Soulbright Seeker (repeat),squared,0.030816528373276062,1.0312962729229698,4253
Mutable Explorer (repeat),squared,0.030780453522431098,1.0312590697348007,402
Glen Elendra Guardian (repeat),squared,0.030763307920531852,1.0312413883289158,548
Rime Chill (repeat),squared,-0.030288423425681596,0.9701656746841509,1283
"Tam, Mindful First-Year (repeat)",squared,-0.030264265184149285,0.970189112463953,239
Soul Immolation (repeat),squared,-0.03018464605220523,0.9702663611541049,233
Brigid's Command (repeat),squared,-0.03015354446941444,0.9702965384429438,878
Bark of Doran (repeat),squared,0.029758288702218052,1.0302054915502035,319
Sun-Dappled Celebrant (repeat),squared,0.029293530296694414,1.0297268061337406,7346
Taster of Wares (repeat),squared,-0.02912442444678222,0.9712956040295708,881
Bogslither's Embrace (repeat),squared,-0.028337460563957244,0.9720602794359878,19992
Winnowing (repeat),squared,0.027494013611405955,1.027875461826894,192
Springleaf Drum (repeat),squared,-0.02684810376905832,0.9735091026577591,281
Deceit (repeat),squared,-0.02681423561201146,0.9735420741752737,115
Kithkeeper (repeat),squared,-0.02639885908980791,0.9739465446942266,1896
Keep Out (repeat),squared,-0.024592025021993997,0.9757078952463186,7265
Timid Shieldbearer (repeat),squared,-0.024134244716649635,0.9761546573561769,17463
"Grub, Storied Matriarch (repeat)",squared,-0.02386679999659606,0.9764157596789049,756
Wild Unraveling (repeat),squared,0.022981924086119494,1.0232480432365412,3817
Reaping Willow (repeat),squared,-0.022396385232619165,0.9778525519090941,3130
Encumbered Reejerey (repeat),squared,0.02189012502016944,1.0221314716255363,5679
"Ashling, Rekindled (repeat)",squared,-0.021726393669255186,0.9785079243915885,794
Shimmercreep (repeat),squared,0.021628145874201213,1.0218637295684818,3108
Glister Bairn (repeat),squared,-0.02147649104804347,0.9787524866438716,1746
Gangly Stompling (repeat),squared,-0.020679296757914113,0.9795330536281067,9890
Retched Wretch (repeat),squared,0.020265251729985178,1.0204719860902125,2647
Omni-Changeling (repeat),squared,0.019868320435005544,1.0200670092026007,4836
Kindle the Inner Flame (repeat),squared,0.019465974502818662,1.0196566719451887,1158
Wanderwine Farewell (repeat),squared,0.019447368517312144,1.0196377004044215,4444
Great Forest Druid (repeat),squared,-0.01919049692888185,0.9809924683895342,15454
Brambleback Brute (repeat),squared,-0.019054421332531025,0.9811259666074048,5666
Gloom Ripper (repeat),squared,0.01904744158836762,1.01923000136061,948
Moon-Vigil Adherents (repeat),squared,0.018952608165797122,1.0191333488742098,5690
Lasting Tarfire (repeat),squared,0.018897096799631745,1.0190767769599158,2206
Pestered Wellguard (repeat),squared,0.017201123403006464,1.0173499146272793,4384
Stalactite Dagger (repeat),squared,-0.01711201802188487,0.9830335609921597,1931
Boggart Cursecrafter (repeat),squared,-0.016391619760770602,0.9837419918056404,6526
Sizzling Changeling (repeat),squared,-0.016194425475302265,0.983935999232749,4940
Scarblade Scout (repeat),squared,-0.0159724688610162,0.9841544145742811,26043
Clachan Festival (repeat),squared,-0.015934930183905963,0.9841913591224968,4271
Moonlit Lamenter (repeat),squared,0.014980551699218088,1.0150933225834857,3559
