feature,type,coefficient,odds_multiplier,count
Mischievous Sneakling × Shinestriker,pair,0.23153588026790975,1.260534554083729,1263
Gravelgill Scoundrel × Rimekin Recluse,pair,-0.21848451900423785,0.8037359219807465,1119
Liminal Hold × Silvergill Peddler,pair,0.21224167309223033,1.2364466648624073,1860
Graveshifter × Scarblade Scout,pair,0.20549622529780304,1.2281343451117088,1115
Deepchannel Duelist × Unexpected Assistance,pair,-0.2025360796144868,0.8166570173962119,1740
Changeling Wayfinder × Shinestriker,pair,0.17382071187087597,1.1898422221099818,1278
Explosive Prodigy × Twinflame Travelers,pair,0.17327469834252693,1.1891927294921232,1209
Changeling Wayfinder × Liminal Hold,pair,0.16863813344904324,1.1836917229727548,1384
Encumbered Reejerey × Liminal Hold,pair,-0.16792101964660275,0.8454206036659521,1394
Temporal Cleansing × Twinflame Travelers,pair,-0.1646086286080849,0.8482256103721565,1244
Flame-Chain Mauler × Tanufel Rimespeaker,pair,0.16379122721254238,1.1779683616810208,1267
Flamekin Gildweaver × Omni-Changeling,pair,0.1575974011333509,1.1706947794270188,1193
Dawnhand Eulogist × Morcant's Eyes,pair,0.155999336489484,1.1688254275616492,2335
Shinestriker × Summit Sentinel,pair,0.15421225518117893,1.1667385067913418,1561
Temporal Cleansing × Tweeze,pair,0.15186376374893876,1.1640016464089666,1477
Blight Rot × Moonglove Extractor,pair,0.1514729089425627,1.1635467796700545,1307
Liminal Hold × Silvergill Mentor,pair,-0.1487681112724806,0.8617689262307846,1264
Moon-Vigil Adherents × Scarblade Scout,pair,0.14380799213758547,1.1546623829831042,1520
Stratosoarer × Tanufel Rimespeaker,pair,0.14164465385257444,1.1521671576251526,1387
Great Forest Druid × Prismabasher,pair,0.14128297637201528,1.151750520059154,1147
Moonlit Lamenter × Spiral into Solitude,pair,0.14057057223520034,1.150930300422706,1175
Foraging Wickermaw × Shinestriker,pair,0.13964195809184612,1.1498620263516908,1740
Blight Rot × Morcant's Eyes,pair,0.13797250382836587,1.14794398577537,1385
Explosive Prodigy × Shinestriker,pair,0.13777174100740544,1.147713544435282,1120
Blossombind × Stratosoarer,pair,0.13602452959633246,1.1457099970539188,2280
Evolving Wilds × Unexpected Assistance,pair,0.1340618703122789,1.143463563903918,2188
Enraged Flamecaster × Stratosoarer,pair,0.13186038105664652,1.1409490100509982,1170
Lys Alana Informant × Moon-Vigil Adherents,pair,0.13008266472797186,1.1389225281543107,1764
Blossombind × Silvergill Mentor,pair,-0.12989568382958241,0.8781870352509995,1463
Blight Rot × Cinder Strike,pair,-0.12808883418867512,0.8797752215551389,1097
Gristle Glutton × Mudbutton Cursetosser,pair,0.1279985539992619,1.1365513592417678,1104
Midnight Tilling × Morcant's Loyalist,pair,-0.127200759876948,0.8805568743610123,1323
Bogslither's Embrace × Dream Seizer,pair,0.12684780787484395,1.1352442294014609,1160
Morcant's Eyes × Scarblade Scout,pair,0.1253052998809438,1.1334944559692741,1943
Lys Alana Dignitary × Safewright Cavalry,pair,0.12465205404443433,1.1327542472306664,1608
Enraged Flamecaster × Twinflame Travelers,pair,0.12370142312921407,1.1316779276962698,1306
Summit Sentinel × Twinflame Travelers,pair,0.12339225669806857,1.1313281049496693,1738
Dundoolin Weaver × Lys Alana Informant,pair,0.12269770229166795,1.130542608845759,1226
Bogslither's Embrace × Morcant's Eyes,pair,0.12258860824972825,1.1304192801103123,1393
