feature,type,coefficient,odds_multiplier,count
Bristlebane Battler (repeat),squared,-0.34808218844064565,0.706040845433569,47
Selfless Safewright (repeat),squared,-0.3379528358431288,0.7132289259459693,27
"Lluwen, Imperfect Naturalist (repeat)",squared,-0.2851072326069671,0.7519336181939038,53
Trystan's Command (repeat),squared,-0.260620170575896,0.7705735505445754,61
Aquitect's Defenses (repeat),squared,-0.24619097198357207,0.781772913944745,101
Figure of Fable (repeat),squared,-0.22993739694401097,0.7945833442919145,110
Champions of the Shoal (repeat),squared,-0.22602137816595455,0.7977010480979996,182
Blighted Blackthorn (repeat),squared,0.22430573681032587,1.251453576369223,340
"Sanar, Innovative First-Year (repeat)",squared,-0.18944854277565193,0.8274152922963656,131
Flock Impostor (repeat),squared,0.17294861353609617,1.1888050150284513,216
Pyrrhic Strike (repeat),squared,-0.16058939109155615,0.8516416909888422,382
Gloom Ripper (repeat),squared,-0.1531219112797848,0.8580251124954438,52
Slumbering Walker (repeat),squared,-0.1498124404218523,0.8608694255902198,85
Dawnhand Dissident (repeat),squared,0.14112963314820579,1.1515739204619058,52
Rime Chill (repeat),squared,0.1381344641279546,1.148129922183969,138
Thoughtweft Imbuer (repeat),squared,-0.12641475010111022,0.8812492727527459,435
Morcant's Eyes (repeat),squared,0.11765700118910234,1.1248582201590698,580
Thoughtweft Lieutenant (repeat),squared,-0.10812729103790635,0.897513343753857,426
Disruptor of Currents (repeat),squared,-0.10560974344206651,0.8997757229433817,74
Kinbinding (repeat),squared,-0.10395024363765155,0.9012701402292591,76
"Brigid, Clachan's Heart (repeat)",squared,-0.10122991655002396,0.9037252276113416,71
Warren Torchmaster (repeat),squared,-0.10034057877066949,0.9045293020923221,163
"Ashling, Rekindled (repeat)",squared,-0.08874662101669745,0.9150774055852025,83
Deepchannel Duelist (repeat),squared,-0.08724685535955888,0.9164508369068489,769
Eclipsed Realms (repeat),squared,0.08603191186478881,1.0898411066122409,88
Dream Seizer (repeat),squared,0.08399228929364666,1.087620507454137,477
Rimekin Recluse (repeat),squared,-0.0833579226548501,0.9200217916395453,752
Luminollusk (repeat),squared,0.07435749659033038,1.077191829075837,208
Silvergill Mentor (repeat),squared,-0.07272413554658724,0.9298573092257805,594
Lofty Dreams (repeat),squared,-0.07228936318257637,0.9302616733831159,170
Lys Alana Dignitary (repeat),squared,-0.07177831233642945,0.930737205898734,396
Gilt-Leaf's Embrace (repeat),squared,0.07102304539820012,1.0736059672602942,268
Thirst for Identity (repeat),squared,-0.07062163395914602,0.9318143923587758,114
Gathering Stone (repeat),squared,0.07053291236310755,1.0730798864443927,254
Formidable Speaker (repeat),squared,-0.06533648704016516,0.936752205363309,33
Burning Curiosity (repeat),squared,0.06467660894949627,1.0668139705029183,268
Scarblade Scout (repeat),squared,-0.06414837459644052,0.9378658337420541,1905
Eclipsed Kithkin (repeat),squared,0.06411223889196281,1.0662120625064098,486
"Tam, Mindful First-Year (repeat)",squared,0.06293898558345946,1.0649618592224885,47
Morcant's Loyalist (repeat),squared,-0.06240629583862645,0.9395010938510829,665
Sunderflock (repeat),squared,-0.06178440706308121,0.9400855407476079,103
Eclipsed Merrow (repeat),squared,-0.06019840909508958,0.9415776974709578,713
Kulrath Mystic (repeat),squared,0.05952613486739657,1.0613334984273226,650
Sun-Dappled Celebrant (repeat),squared,0.05943953602456786,1.0612415921540492,677
Wanderwine Distracter (repeat),squared,0.05865476485319043,1.060409087052388,257
Moonglove Extractor (repeat),squared,0.058285673835422463,1.0600177718031116,502
Clachan Festival (repeat),squared,-0.05806259440263347,0.9435908820806432,261
Flamekin Gildweaver (repeat),squared,-0.05565796535800562,0.9458625983447612,2028
Eclipsed Elf (repeat),squared,-0.05521944663167227,0.9462774677640301,638
Twinflame Travelers (repeat),squared,-0.05338560405307303,0.9480143838041122,749
Blossoming Defense (repeat),squared,-0.05280165929041052,0.948568133502346,152
Bile-Vial Boggart (repeat),squared,-0.04904492983498876,0.952138349318533,659
Swat Away (repeat),squared,0.04872314640232165,1.0499296337024566,291
Scarblade's Malice (repeat),squared,-0.04810514444275322,0.9530335756250242,259
Merrow Skyswimmer (repeat),squared,-0.047987007739412356,0.9531461705204857,2632
Glamer Gifter (repeat),squared,-0.04787704423910927,0.953250987572616,483
Gallant Fowlknight (repeat),squared,-0.04780991193182361,0.9533149836589124,684
Chomping Changeling (repeat),squared,-0.047281152850679666,0.953819190904045,35
Creakwood Safewright (repeat),squared,-0.044545855644331056,0.956431741294286,492
Boggart Mischief (repeat),squared,0.043945372788558486,1.044925271975545,497
Safewright Cavalry (repeat),squared,0.04280576110772682,1.0437351412022744,1640
Dawnhand Eulogist (repeat),squared,-0.0423166149480488,0.9585662361226138,2333
Mischievous Sneakling (repeat),squared,-0.04203791006640217,0.9588334304444542,1035
Gangly Stompling (repeat),squared,-0.04174004228988636,0.9591190785670033,685
Flitterwing Nuisance (repeat),squared,-0.04121964447957748,0.9596183319292262,80
Timid Shieldbearer (repeat),squared,-0.04023695057036774,0.9605618065166193,1230
Assert Perfection (repeat),squared,-0.04010086572573831,0.9606925333155824,2389
Stoic Grove-Guide (repeat),squared,0.03991497999132096,1.040722288212926,809
Boggart Cursecrafter (repeat),squared,-0.039909546223154006,0.9608763501165015,571
Virulent Emissary (repeat),squared,0.03949944310165657,1.0402899195490638,359
Goldmeadow Nomad (repeat),squared,0.03937270814155774,1.040158086801704,470
Shimmercreep (repeat),squared,0.03900970770472722,1.039780577483991,300
Noggle Robber (repeat),squared,-0.03875390906267942,0.9619874164044102,437
Noggle the Mind (repeat),squared,0.037805945351693175,1.0385296818110095,274
Sting-Slinger (repeat),squared,-0.03745271025503608,0.9632399680162089,265
Tanufel Rimespeaker (repeat),squared,0.03642433661507375,1.0370958308679588,674
Pitiless Fists (repeat),squared,0.03634468933504848,1.037013232295324,384
Flaring Cinder (repeat),squared,-0.03609267880740275,0.9645508959138445,1755
Silvergill Peddler (repeat),squared,-0.03505130167368719,0.9655558803542393,1161
"Abigale, Eloquent First-Year (repeat)",squared,-0.034009585515400946,0.966562239595868,28
Heirloom Auntie (repeat),squared,0.03214256711923077,1.0326647188450608,456
Sear (repeat),squared,0.031947974594879885,1.032463789560915,477
Boneclub Berserker (repeat),squared,0.031541691507385373,1.0320444021855337,516
Soulbright Seeker (repeat),squared,-0.030598735930939352,0.9698646668487878,393
Meanders Guide (repeat),squared,-0.030136636144495372,0.9703129446707842,310
Chitinous Graspling (repeat),squared,-0.02903315787766067,0.9713842548923219,396
Bristlebane Outrider (repeat),squared,-0.028895155892362703,0.9715183170981968,318
Run Away Together (repeat),squared,0.02869007574959936,1.0291056002639183,149
Bogslither's Embrace (repeat),squared,-0.027539138981892725,0.9728366059740138,1598
Keep Out (repeat),squared,0.02741360436800125,1.0277928144615447,535
Moonlit Lamenter (repeat),squared,0.026778009854195133,1.0271397625474357,378
Ashling's Command (repeat),squared,-0.025930919985446225,0.9744023990157604,122
Riverguard's Reflexes (repeat),squared,0.02583171702887914,1.0261682473009908,109
Boggart Prankster (repeat),squared,0.02524833653035083,1.0255697753427144,899
Glister Bairn (repeat),squared,0.025022690071498627,1.0253383852617604,153
Explosive Prodigy (repeat),squared,-0.025011657316121826,0.97529854259864,698
Retched Wretch (repeat),squared,0.024831408098713755,1.0251422752694066,213
Adept Watershaper (repeat),squared,-0.024312598981262683,0.9759805715350512,90
Pestered Wellguard (repeat),squared,-0.02318388861176958,0.9770827928538647,397
Kulrath Zealot (repeat),squared,-0.02297768590811935,0.977284290741432,2275
Shinestriker (repeat),squared,-0.021561701284461693,0.9786690904662442,706
Reaping Willow (repeat),squared,-0.021063639502739626,0.9791566495443508,293
Elder Auntie (repeat),squared,-0.020952539950337027,0.9792654394529904,988
Giantfall (repeat),squared,-0.020915379831861817,0.9793018297488688,191
Dundoolin Weaver (repeat),squared,-0.02040009665470392,0.9798065775399528,332
Gnarlbark Elm (repeat),squared,-0.019922540426397316,0.9802746020187004,264
Goliath Daydreamer (repeat),squared,-0.019882990428250875,0.9803133726440773,117
Tributary Vaulter (repeat),squared,0.01953810122417155,1.019730219090167,1252
Omni-Changeling (repeat),squared,-0.019520154127598128,0.9806691304587096,474
End-Blaze Epiphany (repeat),squared,0.01941907510162946,1.0196088517792332,74
Changeling Wayfinder (repeat),squared,0.019050778670306873,1.0192334026203145,831
Flame-Chain Mauler (repeat),squared,-0.018575231198454036,0.9815962251535192,1135
Wildvine Pummeler (repeat),squared,0.018360446259190193,1.0185300355744604,859
Nameless Inversion (repeat),squared,0.017631987608408537,1.01778834873586,328
Sourbread Auntie (repeat),squared,-0.016975622819353952,0.9831676511982285,434
Tweeze (repeat),squared,-0.016526100687693366,0.9836097061658766,1927
Requiting Hex (repeat),squared,-0.016509077807739306,0.9836264501783416,116
Unexpected Assistance (repeat),squared,-0.01640766567891651,0.9837262068888053,1505
Eclipsed Flamekin (repeat),squared,-0.015853373486882337,0.9842716297922469,892
Thoughtweft Charge (repeat),squared,0.01524889202033867,1.0153657496015773,108
